"地点名称","楼盘名称","地址","纬度","经度"
"囍逸 2座 中層 A室",NA,NA,NA,NA
"One Homantin 2座 高層 B室",NA,NA,NA,NA
"峻瀅 1期 5座 低層 E室",NA,NA,NA,NA
"環宇海灣 3座 中層 B室","City Point Block 3","City Point Block 3, 48 Tsuen Wan Rd, Tsuen Wan, Hong Kong",22.3646715,114.1142676
"黃金閣 低層 G室","Golden Court","145號 Fuk Wing St, Un Chau, Hong Kong",22.3323731,114.1619809
"碧海藍天 2座 中層 C室","Aqua Marine Tower 2","Aqua Marine Tower 2, 8 Sham Shing Rd, Cheung Sha Wan, Hong Kong",22.3325032,114.1489145
"屯門市廣場 1期 6座 中層 G室","Hong Kong Gold Coast Block 6","Hong Kong Gold Coast Block 6, 1 Castle Peak Road-Castle Peak Bay, So Kwun Wat, Hong Kong",22.3693557,113.9948375
"富景花園 2座 高層 A室","Fullview Garden Block 11","18號 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",22.2630993,114.2520342
"海福花園 福祺閣 (3座) 中層 K室","Fook Ki Court, Holford Garden","Hong Kong, Tai Wai, Chik Wan St, Holford Garden Fook Ki Court, 海福花園",22.3731611,114.1759376
"新都城 1期 4座 低層 C室",NA,NA,NA,NA
"帝景峰 帝景臺 8座 6號複式","Dynasty Heights Dynasty Villa","Dynasty Height Dynasty Villa Block 5, 2 Yin Ping Rd, Beacon Hill, Hong Kong",22.3437587,114.1628993
"天晉 海天晉 3座 高層 A室","The Wings IIIA","19 Tong Yin St, Tseung Kwan O, Hong Kong",22.3055989,114.2594818
"柏景灣 2期 帝柏海灣 5座 中層 C室",NA,NA,NA,NA
"逸濤灣 春瑤軒 (1座) 低層 C室","Les Saisons","28 Tai On St, Aldrich Bay, Hong Kong",22.2836257,114.2247769
"都會駅 1期 3座 高層 E室",NA,NA,NA,NA
"金源洋樓 C座 低層 6室","Goldmine Building Block C","Goldmine Building Block C, 345 Chai Wan Rd, Chai Wan, Hong Kong",22.2645265,114.2402455
"杏花邨 16座 高層 6室","Heng Fa Chuen Block 24","Heng Fa Chuen Block 24, 100 Shing Tai Rd, Pak Sha Wan, Hong Kong",22.2785641,114.2402346
"卓爾居 2期 5座 高層 G室",NA,NA,NA,NA
"香島 3座 低層 C室",NA,NA,NA,NA
"康怡花園 L座 (9-16室) 低層 15室","Kornhill Block L","Kornhill Block L, 41 Hong Yue St, Kornhill, Hong Kong",22.284025,114.2174968
"滿華樓 高層 2號",NA,NA,NA,NA
"華健大廈 中層 B室","Wah Kin Mansion","11 N View St, North Point, Hong Kong",22.2895565,114.1968169
"峰景大廈 A-B座 中層 B室","Hilltop Mansion","Hong Kong, Cloud View Rd, 60號寶馬山7864",22.2867653,114.1988322
"美孚新邨 1期 百老匯街19-21號 高層 19號B室",NA,NA,NA,NA
"美孚新邨 1期 百老匯街5-7號 高層 7號B室",NA,NA,NA,NA
"帝峰．皇殿 8座 高層 C室","The Hermitage Tower 8","The Hermitage Tower 8, Mong Kok, Hong Kong",22.3177267,114.1637591
"麗港城 3期 33座 高層 C室","Laguna City Phase 3 Club House","2 S Laguna St, Kwun Tong, Hong Kong",22.305115,114.2282595
"弦海 中層 P室","The Esplanade","101號 Yip Wong Rd, Tuen Mun, Hong Kong",22.3864777,113.968837
"金邦大廈 高層 E室","Common Bond Building","Common Bond Building, Tsing Chui Path, San Hui, Hong Kong",22.4034961,113.9790085
"雅都花園 C座 低層 C室","雅都大廈BLOCK C","Choi Yee Bridge Rd, San Hui, Hong Kong",22.3986962,113.9757992
"新港城 4期 H座 中層 1室",NA,NA,NA,NA
"美孚新邨 2期 吉利徑5-7號 高層 5號C室",NA,NA,NA,NA
"大坑台 A座 低層 6室",NA,NA,NA,NA
"丰滙 1座 高層 D室","Trinity Towers - Tower 1","Trinity Towers - Tower 1, Lai Chi Kok Rd, Sham Shui Po, Hong Kong",22.3289285,114.1596576
"匯璽 2A期 2B座 中層 G室",NA,NA,NA,NA
