"日期","地址","成交價","面積_實","每呎價_實","資料來源"
"2024-12-27","囍逸 2座 中層 A室",453.6,466,9734,"AC"
"2024-12-27","One Homantin 2座 高層 B室",838,499,16794,"AC"
"2024-12-27","峻瀅 1期 5座 低層 E室",513,502,10219,"AC"
"2024-12-27","環宇海灣 3座 中層 B室",693,491,14114,"AC"
"2024-12-27","黃金閣 低層 G室",328,310,10581,"AC"
"2024-12-27","碧海藍天 2座 中層 C室",720,496,14516,"AC"
"2024-12-27","屯門市廣場 1期 6座 中層 G室",592,592,10000,"AC"
"2024-12-27","富景花園 2座 高層 A室",2068,1081,19130,"AC"
"2024-12-27","海福花園 福祺閣 (3座) 中層 K室",482,401,12020,"AC"
"2024-12-27","新都城 1期 4座 低層 C室",495,364,13599,"AC"
"2024-12-27","帝景峰 帝景臺 8座 6號複式",3230,1844,17516,"AC"
"2024-12-27","天晉 海天晉 3座 高層 A室",1980,978,20245,"AC"
"2024-12-27","柏景灣 2期 帝柏海灣 5座 中層 C室",1320,698,18911,"AC"
"2024-12-27","逸濤灣 春瑤軒 (1座) 低層 C室",1438,738,19485,"AC"
"2024-12-27","都會駅 1期 3座 高層 E室",692,487,14209,"AC"
"2024-12-27","金源洋樓 C座 低層 6室",258,240,10750,"AC"
"2024-12-27","杏花邨 16座 高層 6室",589,453,13002,"AC"
"2024-12-27","卓爾居 2期 5座 高層 G室",620,524,11832,"AC"
"2024-12-27","香島 3座 低層 C室",1088,882,12336,"AC"
"2024-12-27","康怡花園 L座 (9-16室) 低層 15室",710,605,11736,"AC"
"2024-12-27","滿華樓 高層 2號",270,NA,NA,"AC"
"2024-12-27","華健大廈 中層 B室",260,310,8387,"AC"
"2024-12-27","峰景大廈 A-B座 中層 B室",1938,1324,14637,"AC"
"2024-12-27","美孚新邨 1期 百老匯街19-21號 高層 19號B室",485,485,10000,"AC"
"2024-12-27","美孚新邨 1期 百老匯街5-7號 高層 7號B室",570,719,7928,"AC"
"2024-12-27","帝峰．皇殿 8座 高層 C室",1800,827,21765,"AC"
"2024-12-27","麗港城 3期 33座 高層 C室",565,522,10824,"AC"
"2024-12-27","弦海 中層 P室",255,224,11384,"AC"
"2024-12-27","金邦大廈 高層 E室",213,274,7774,"AC"
"2024-12-27","雅都花園 C座 低層 C室",438,566,7739,"AC"
"2024-12-27","新港城 4期 H座 中層 1室",653,519,12582,"AC"
"2024-12-27","美孚新邨 2期 吉利徑5-7號 高層 5號C室",455,460,9891,"AC"
"2024-12-27","大坑台 A座 低層 6室",838,527,15901,"AC"
"2024-12-27","丰滙 1座 高層 D室",978,724,13508,"AC"
"2024-12-27","匯璽 2A期 2B座 中層 G室",495,272,18199,"AC"
"2024-12-27","匯璽 3期 匯璽ll 3B座 高層 E室",705,349,20201,"AC"
"2024-12-27","海韻花園 2座 高層 D室",450,NA,NA,"AC"
"2024-12-27","海韻花園 2座 高層 E室",515,NA,NA,"AC"
"2024-12-27","藍天海岸 1期 5座 中層 H室",623,490,12714,"AC"
"2024-12-27","榮輝中心 4座 中層 K室",263,NA,NA,"AC"
"2024-12-27","花都廣場 4座 高層 F室",420,413,10169,"AC"
"2024-12-27","天平邨 天賀樓 (3座) 中層 24室",155,NA,NA,"AC"
"2024-12-27","海璇 1B期 5A座 低層 D室",945,380,24868,"AC"
"2024-12-27","維景花園 A座 低層 5室",500,422,11848,"AC"
"2024-12-27","Yoho Town 2期 Yoho Midtown 3座 低層 E室",563.8,454,12419,"AC"
"2024-12-27","海之戀 3期A 海之戀．愛炫美 3A座 中層 B室",2163,1163,18598,"AC"
"2024-12-27","海之戀 3期A 海之戀．愛炫美 3A座 中層 A室",2163,1163,18598,"AC"
"2024-12-27","峻巒 2C期 Park Yoho Milano 32A座 低層 E室",300,254,11811,"AC"
"2024-12-27","寶雅苑 興和閣 (B座) 高層 11室",393,443,8871,"AC"
"2024-12-27","彩明苑 彩楊閣 (A座) 高層 5室",608,650,9354,"AC"
"2024-12-27","采葉庭 11座 中層 C室",483.8,509,9505,"AC"
"2024-12-27","嘉亨灣 1座 中層 A室",1332.8,658,20255,"AC"
"2024-12-27","尚城 5座 高層 F室",720,902,7982,"AC"
"2024-12-27","尚匯 中層 A室",1750,686,25510,"AC"
"2024-12-27","Silicon Hill University Hill 2B期 優景閣 第2座 中層 A1室",599.8,409,14665,"AC"
"2024-12-27","新達廣場 6座 中層 A室",540,465,11613,"AC"
"2024-12-27","天祐苑 祐寧閣 (B座) 高層 2室",419.8,598,7020,"AC"
"2024-12-27","柏傲灣 2B座 低層 D室",442,318,13899,"AC"
"2024-12-27","荃景花園 2期 8座 高層 B室",451,431,10464,"AC"
"2024-12-27","帝堡城 6座 中層 H室",630,547,11517,"AC"
"2024-12-27","綠悠雅苑 2座 高層 D室",504.8,543,9297,"AC"
"2024-12-27","環宇海灣 1座 中層 E室",1130,849,13310,"AC"
"2024-12-27","嘉田苑 嘉康閣 (A座) 高層 2室",428,469,9126,"AC"
"2024-12-27","Yoho Town 2期 Yoho Midtown 7座 高層 B室",918,574,15993,"AC"
"2024-12-27","嘉湖山莊 7期 景湖居 12座 低層 B室",490,630,7778,"AC"
"2024-12-26","維景灣畔 3期 15 座 低層 E室",640,503,12724,"AC"
"2024-12-26","嘉湖山莊 2期 賞湖居 5座 低層 E室",373,448,8326,"AC"
"2024-12-24","雲疊花園 4座 高層 B室",472.8,591,8000,"AC"
"2024-12-24","翠竹花園 12座 中層 B室",330,484,6818,"AC"
"2024-12-24","盈暉臺 2座 中層 H室",628,438,14338,"AC"
"2024-12-24","金獅花園 2期 金福閣 (E座) 高層 6室",360,336,10714,"AC"
"2024-12-24","祥和苑 和誠閣 (C座) 低層 6室",378,431,8770,"AC"
"2024-12-24","維景灣畔 2期 7座 高層 A室",883,639,13818,"AC"
