"School_Name","Address"
"BUDDHIST SIN TAK COLLEGE","5 HING SHING ROAD KWAI CHUNG NEW TERRITORIES"
"BUDDHIST YIP KEI NAM MEMORIAL COLLEGE","CHEUNG CHING ESTATE TSING YI NEW TERRITORIES"
"CARITAS ST JOSEPH SEC SCH","10 FUNG SHUE WO ROAD TSING YI ESTATE TSING YI NEW TERRITORIES"
"CARMEL ALISON LAM FOUNDATION SEC SCH","4 WAH KING HILL ROAD KWAI CHUNG NEW TERRITORIES"
"CCC CHUEN YUEN COLLEGE","KWAI CHUNG ESTATE 15 SHEUNG KOK STREET KWAI CHUNG NEW TERRITORIES"
"CCC YENCHING COLLEGE","12 NGA YING CHAU STREET TSING YI NEW TERRITORIES"
"CNEC CHRISTIAN COLLEGE","6 LEI PUI STREET KWAI CHUNG NEW TERRITORIES"
"CNEC LEE I YAO MEMORIAL SECONDARY SCHOOL","1 SHING FUK STREET KWAI SHING NEW TERRITORIES"
"COTTON SPINNERS ASSOCIATION SEC SCHOOL","BLOCKS A, B, C & HALL BLOCK 350 KWAI SHING CIRCUIT KWAI CHUNG NEW TERRITORIES"
"DMHC SIU MING CATHOLIC SEC SCH","6 KWAI YIP STREET KWAI CHUNG NEW TERRITORIES"
"HKSYC&IA CHAN NAM CHONG MEMORIAL COLL","CHO YIU ESTATE 12 KING CHO ROAD KWAI CHUNG NEW TERRITORIES"
"HKTA THE YUEN YUEN INT NO.1 SEC SCH","42 WO YI HOP ROAD KWAI CHUNG NEW TERRITORIES"
"JU CHING CHU SEC SCH (KWAI CHUNG)","1-11 ON CHIT STREET KWAI CHUNG NEW TERRITORIES"
"KIANGSU-CHEKIANG COLLEGE (KWAI CHUNG)","83 HING SHING ROAD KWAI CHUNG NEW TERRITORIES"
"KWAI CHUNG METHODIST COLLEGE","ESTATE SECONDARY SCHOOL LAI YIU ESTATE HA KWAI CHUNG NEW TERRITORIES"
"LAI KING CATHOLIC SECONDARY SCHOOL","ESTATE SCHOOL NO. 1 LAI KING ESTATE KWAI CHUNG NEW TERRITORIES"
"LINGNAN DR CHUNG WING KWONG MEM SEC SCH","ESTATE SECONDARY SCHOOL NO 2 LAI KING ESTATE KWAI CHUNG NEW TERRITORIES"
"LIONS CLUBS INT TSEUNG CHUI KING COLLEGE","90 HING SHING ROAD, KWAI FONG KWAI CHUNG NEW TERRITORIES"
"LOK SIN TONG KU CHIU MAN SEC SCH","301 KWAI SHING CIRCUIT KWAI CHUNG NEW TERRITORIES"
"LOK SIN TONG LEUNG CHIK WAI MEMORIAL SCH","CHEUNG HONG ESTATE TSING YI NEW TERRITORIES"
"METHODIST LEE WAI LEE COLLEGE","2-4 KWAI YIP STREET KWAI CHUNG NEW TERRITORIES"
"PO LEUNG KUK LO KIT SING (1983) COLLEGE","CHEUNG HONG ESTATE TSING YI NEW TERRITORIES"
"POPE PAUL VI COLLEGE","8 LEI PUI STREET KWAI CHUNG NEW TERRITORIES"
"QUEEN'S COLL OLD BOYS' ASSN SEC SCH","CHEUNG ON ESTATE, PHASE I TSING YI NEW TERRITORIES"
"SALESIANS OF DON BOSCO NG SIU MUI SEC SC","30 KWAI HOP STREET KWAI CHUNG NEW TERRITORIES"
"SHEK LEI CATHOLIC SECONDARY SCHOOL","23-31 ON CHIT STREET SHEK YAM, KWAI CHUNG NEW TERRITORIES"
