"School_Name","Address"
"TSEUNG KWAN O GOVERNMENT SEC SCHOOL","2 KING YIN LANE TSEUNG KWAN O NEW TERRITORIES"
"C&MA SUN KEI SECONDARY SCHOOL","6 TONG CHUN STREET TSEUNG KWAN O NEW TERRITORIES"
"CARMEL DIVINE GRACE FOUNDATION SEC SCH","ESTATE SECONDARY SCHOOL PO LAM ESTATE TSEUNG KWAN O NEW TERRITORIES"
"CATHOLIC MING YUEN SECONDARY SCHOOL","STANDARD SCHOOL NO. 1 HAU TAK ESTATE, PHASE I TSEUNG KWAN O SAI KUNG NEW TERRITORIES"
"CHENG CHEK CHEE SEC SCH OF SK&HH DIST NT","8 CHUK KOK ROAD CHUK KOK, SAI KUNG NEW TERRITORIES"
"HHCKLA BUDDHIST CHING KOK SEC SCH","38 CHUI LING ROAD, TIU KENG LENG TSEUNG KWAN O NEW TERRITORIES"
"HK AND MACAU LU CH QUEEN MAUD SEC SCH","HAU TAK ESTATE TSEUNG KWAN O NEW TERRITORIES"
"HKTA THE YUEN YUEN INT NO 3 SEC SCH","2 TONG MING STREET, SHEUNG TAK ESTATE TSEUNG KWAN O NEW TERRITORIES"
"KING LING COLLEGE","1  LAM SHING ROAD TSEUNG KWAN O NEW TERRITORIES"
"MKMCF MA CHAN DUEN HEY MEM COLLEGE","2 WAN LUNG ROAD TSEUNG KWAN O NEW TERRITORIES"
"PLK HO YUK CHING (1984) COLLEGE","2 CHAP FUK ROAD TSEUNG KWAN O NEW TERRITORIES"
"PO KOK SECONDARY SCHOOL","9  CHOI MING STREET, CHOI MING COURT TSEUNG KWAN O NEW TERRITORIES"
"POH 80TH ANNIVERSARY TANG YING HEI COLL","2 TONG YIN LANE TSEUNG KWAN O NEW TERRITORIES"
"SAI KUNG SUNG TSUN CATH SCH (SEC SECT)","BLOCKS A - E  PO TUNG ROAD SAI KUNG NEW TERRITORIES"
"STFA CHENG YU TUNG SECONDARY SCHOOL","9 HOK LAM LANE TSEUNG KWAN O NEW TERRITORIES"
"TWGH LUI YUN CHOY MEMORIAL COLLEGE","8 YUK NGA LANE TSEUNG KWAN O NEW TERRITORIES"
"WELLINGTON ED ORG CHANG PUI CHUNG MEM SC","3 WAN LUNG ROAD TSEUNG KWAN O NEW TERRITORIES"
"YCH LAN CHI PAT MEMORIAL SECONDARY SCH","10 YUK NGA LANE TSEUNG KWAN O NEW TERRITORIES"
"YCH WONG WHA SAN SECONDARY SCHOOL","8 TONG CHUN STREET TSEUNG KWAN O NEW TERRITORIES"
"CREATIVE SECONDARY SCHOOL","3 PUNG LOI ROAD TSEUNG KWAN O NEW TERRITORIES"
"EVANGEL COLLEGE","7 CHI SHIN STREET TSEUNG KWAN O NEW TERRITORIES"
"G. T. (ELLEN YEUNG) COLLEGE","10 LING KWONG STREET TSEUNG KWAN O NEW TERRITORIES"
"HEUNG TO SEC SCHOOL (TSEUNG KWAN O)","4 KAN HOK LANE TSEUNG KWAN O NEW TERRITORIES"
"HKCCC UNION LOGOS ACADEMY","1 KAN HOK LANE TSEUNG KWAN O NEW TERRITORIES"
"MAN KWAN QUALIED COLLEGE","2, KAN HOK LANE TSEUNG KWAN O NEW TERRITORIES"
"PO LEUNG KUK LAWS FOUNDATION COLLEGE","8 TO LOK ROAD TSEUNG KWAN O NEW TERRITORIES"
"FOREST HOUSE WALDORF SCHOOL","1/F., 200 HANG HAU VILLAGE TSEUNG KWAN O NEW TERRITORIES"
"HONG KONG ACADEMY","33 WAI MAN ROAD SAI KUNG NEW TERRITORIES"
"HONG KONG ADVENTIST ACADEMY","1111 CLEAR WATER BAY ROAD SAI KUNG NEW TERRITORIES"
"LYC'EE FRANCAIS INTL (FRENCH INTL SCH)","28 TONG YIN STREET TSEUNG KWAN O NEW TERRITORIES"
"MKMCF MA CHAN DUEN HEY MEM EV COLLEGE","2 WAN LUNG ROAD TSEUNG KWAN O NEW TERRITORIES"
"RUDOLF STEINER EDU FDN HK MARIA COLLEGE","ROOM 201-204 AND 207, 2/F. TSEUNG KWAN O GOVERNMENT SECONDARY SCHOOL, KING YIN LANE TSEUNG KWAN O NEW TERRITORIES"
"TSEUNG KWAN O GOVERNMENT PRI SCHOOL","HAU TAK ESTATE TSEUNG KWAN O NEW TERRITORIES"
"ASSEMBLY OF GOD LEUNG SING TAK PRI SCH","2 MAN KUK LANE TSEUNG KWAN O NEW TERRITORIES"
"CHI LIN BUDDHIST PRIMARY SCHOOL","1 TONG CHUN STREET TSEUNG KWAN O, NEW TERRITORIES"
"CHR & MISSIONARY ALLIANCE SUN KEI PRI SC","SHEUNG TAK ESTATE TSEUNG KWAN O NEW TERRITORIES"
"HHCKLA BUDDHIST WONG CHO SUM SCHOOL","KING LAM ESTATE TSEUNG KWAN O NEW TERRITORIES"
"HK & MACAU LUTHERAN CH MING TAO PRI SCH","7 CHOI MING STREET CHOI MING COURT TSEUNG KWAN O NEW TERRITORIES"
"HK & MACAU LUTHERAN CHURCH PRI SCH","4 CHAP FUK ROAD TSEUNG KWAN O NEW TERRITORIES"
"KING LAM CATHOLIC PRIMARY SCHOOL","KING LAM ESTATE 38 PO LAM ROAD NORTH TSEUNG KWAN O NEW TERRITORIES"
"LOK SIN TONG LAU TAK PRIMARY SCHOOL","PO LAM ESTATE TSEUNG KWAN O NEW TERRITORIES"
