"School_Name","Address"
"HELEN LIANG MEMORIAL SEC SCH (SHATIN)","2 HIN TIN STREET TAI WAI SHATIN NEW TERRITORIES"
"SHA TIN GOVERNMENT SECONDARY SCHOOL","11-17 MAN LAI ROAD SHATIN NEW TERRITORIES"
"BAPTIST LUI MING CHOI SECONDARY SCHOOL","LEK YUEN ESTATE SHATIN NEW TERRITORIES"
"BUDDHIST KOK KWONG SECONDARY SCHOOL","SHA KOK ESTATE SHATIN NEW TERRITORIES"
"BUDDHIST WONG WAN TIN COLLEGE","MEI LAM ESTATE SHATIN NEW TERRITORIES"
"CARITAS MA ON SHAN SECONDARY SCHOOL","2 KAM YING ROAD MA ON SHAN SHATIN NEW TERRITORIES"
"CHINESE YMCA COLLEGE","HENG ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES"
"CHIU CHOW ASSOCIATION SECONDARY SCHOOL","HENG ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES"
"CHRIST COLLEGE","POK HONG ESTATE SHATIN NEW TERRITORIES"
"CHRISTIAN ALLIANCE CHENG WING GEE COLL","12-14 CHIK WAN STREET TAI WAI SHATIN NEW TERRITORIES"
"CUHKFAA CHAN CHUN HA SECONDARY SCHOOL","632 SAI SHA ROAD MA ON SHAN SHATIN NEW TERRITORIES"
"GCC&ITKD LAU PAK LOK SEC SCH","1 CHIK TAI LANE SHATIN NEW TERRITORIES"
"HKCWC FUNG YIU KING MEM SEC SCH","10 HANG KWONG STREET MA ON SHAN SHATIN NEW TERRITORIES"
"IMMACULATE HEART OF MARY COLLEGE","JAT MIN CHUEN 4 JAT MIN CHUEN STREET SHATIN NEW TERRITORIES"
"JOCKEY CLUB TI-I COLLEGE","STTL 324 LOK KING STREET FO TAN, SHATIN NEW TERRITORIES"
"KIANGSU-CHEKIANG COLLEGE (SHATIN)","7 FUNG SHUN STREET SHATIN NEW TERRITORIES"
"KWOK TAK SENG CATHOLIC SECONDARY SCHOOL","G/F, 2/F, 5/F & 6/F ESTATE PRIMARY SCHOOL NO.1 CHUN SHEK ESTATE SHATIN NEW TERRITORIES"
"LOCK TAO SECONDARY SCHOOL","MEI LAM ESTATE SHATIN NEW TERRITORIES"
"LOK SIN TONG YOUNG KO HSIAO LIN SEC SCH","LUNG HANG ESTATE SHATIN NEW TERRITORIES"
"MA ON SHAN ST JOSEPH'S SECONDARY SCHOOL","8 HANG KWONG STREET MA ON SHAN SHATIN NEW TERRITORIES"
"MA ON SHAN TSUNG TSIN SECONDARY SCHOOL","5 HANG SHUN STREET MA ON SHAN, SHATIN NEW TERRITORIES"
"NG YUK SECONDARY SCHOOL","SUN CHUI ESTATE SHATIN NEW TERRITORIES"
"PENTECOSTAL LAM HON KWONG SCHOOL","YUE TIN COURT SHATIN NEW TERRITORIES"
"PLK C W CHU COLLEGE","LUNG HANG ESTATE TAI WAI SHATIN NEW TERRITORIES"
"PLK WU CHUNG COLLEGE","HENG ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES"
"POK OI HOSPITAL CHAN KAI MEMORIAL COLL","LUNG HANG ESTATE SHATIN NEW TERRITORIES"
"SHA TIN METHODIST COLLEGE","ESTATE SECONDARY SCHOOL SUN TIN WAI ESTATE SHATIN, AREA 10 NEW TERRITORIES"
"SHATIN PUI YING COLLEGE","WO CHE ESTATE 9 FUNG SHUN STREET SHATIN NEW TERRITORIES"
"SHATIN TSUNG TSIN SECONDARY SCHOOL","1 MEI TIN ROAD TAI WAI SHATIN NEW TERRITORIES"
"SKH LAM KAU MOW SECONDARY SCHOOL","10 TAK PO STREET CITY ONE, SHATIN NEW TERRITORIES"
"SKH TSANG SHIU TIM SECONDARY SCHOOL","ESTATE SECONDARY SCHOOL 1 WO CHE ESTATE SHATIN, N.T.."
"ST ROSE OF LIMA'S COLLEGE","29 NGAN SHING STREET SHATIN NEW TERRITORIES"
"TOI SHAN ASSOCIATION COLLEGE","10 YUEN CHAU KOK ROAD SHATIN NEW TERRITORIES"
"TSANG PIK SHAN (SUNG LAN) SECONDARY SCHO","12 HANG KWONG STREET MA ON SHAN SHATIN NEW TERRITORIES"
"TWGH MRS FUNG WONG FUNG TING COLLEGE","LEK YUEN ESTATE SHATIN NEW TERRITORIES"
"TWGH WONG FUNG LING COLLEGE","208 MA ON SHAN ROAD MA ON SHAN SHATIN NEW TERRITORIES"
"TWGH YOW KAM YUEN COLLEGE","CITY ONE SHATIN NEW TERRITORIES"
"YCH TUNG CHI YING MEM SEC SCHOOL","210 MA ON SHAN ROAD SHATIN NEW TERRITORIES"
"HKBUAS WONG KAM FAI SEC & PRI SCH","6 ON MUK LANE, SHEK MUN SHATIN NEW TERRITORIES"
"LAM TAI FAI COLLEGE","25 NGAN SHING STREET SHATIN NEW TERRITORIES"
"LI PO CHUN UNITED WORLD COLLEGE OF HK","10 LOK WO SHA LANE, SAI SHA ROAD SHATIN NEW TERRITORIES"
"PUI KIU COLLEGE","1 TAI WAI NEW VILLAGE ROAD TAI WAI, SHATIN NEW TERRITORIES"
"STEWARDS POOI KEI COLLEGE","56 SIU LEK YUEN ROAD SHA TIN NEW TERRITORIES"
"TAK SUN SECONDARY SCHOOL","27 NING TAI ROAD MA ON SHAN, SHATIN NEW TERRITORIES"
"SHATIN COLLEGE","STTL 211 & 234, LAI WO LANE FO TAN, SHATIN NEW TERRITORIES"
"EXCEL LONDON COLLEGE (SHATIN)","LEVEL 3 SHATIN PARK STAGE 3 13-15 KONG PUI STREET SHATIN NEW TERRITORIES"
"INTERNATIONAL CHRISTIAN SCHOOL","1 ON MUK LANE SHATIN NEW TERRITORIES"
"PLK&SPROUTS FOUNDATION SEC ED SERV CTR","LUNG HANG ESTATE TAI WAI SHATIN NEW TERRITORIES"
"RENAISSANCE COLLEGE","NO.5 HANG MING STREET MA ON SHAN, SHATIN NEW TERRITORIES"
"SHATIN LUTHERAN EVENING SCHOOL","5 ON KING STREET SHATIN NEW TERRITORIES"
"SHA TIN GOVERNMENT PRIMARY SCHOOL","SUN TIN WAI ESTATE SHATIN NEW TERRITORIES"
"BAPTIST (STW) LUI MING CHOI PRIM SCH","8 YUEN CHAU KOK ROAD SHATIN NEW TERRITORIES"
"BAPTIST LUI MING CHOI PRIMARY SCHOOL","STANDARD PRIMARY SCHOOL A 2 TAK WING STREET SHATIN NEW TERRITORIES"
"CARMEL ALISON LAM PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL HIN KENG ESTATE SHATIN NEW TERRITORIES"
"CHI HONG PRIMARY SCHOOL","1 YUEN CHEONG LANE SHATIN NEW TERRITORIES"
"CHRISTIAN ALLIANCE H C CHAN PRI SCH","ESTATE PRIMARY SCHOOL 3 MEI LAM ESTATE SHATIN NEW TERRITORIES"
"CHRISTIAN ALLIANCE T S H C CHAN PRI SCH","CHUNG ON ESTATE, MA ON SHAN SHATIN NEW TERRITORIES"
"CUHKFAA THOMAS CHEUNG SCHOOL","KA TIN COURT HIN KENG ESTATE SHATIN NEW TERRITORIES"
"DR CATHERINE F WOO MEMORIAL SCHOOL","8 TAK PO STREET CITY ONE SHATIN NEW TERRITORIES"
"FREE METHODIST BRADBURY CHUN LEI PRI SCH","SUN CHUI ESTATE SHATIN NEW TERRITORIES"
"FREE METHODIST MEI LAM PRIMARY SCHOOL","MEI SHING COURT TAI WAI SHATIN NEW TERRITORIES"
"GCC&ITKD CHEONG WONG WAI PRI SCH","ESTATE PRIMARY SCHOOL SUN CHUI ESTATE PHASE III SHATIN NEW TERRITORIES"
"HKTA SHUN YEUNG PRIMARY SCHOOL","30 ON CHUN STREET MA ON SHAN, SHATIN NEW TERRITORIES"
"IMMACULATE HEART OF MARY SCHOOL","1 MEI TIN ROAD TAI WAI, SHA TIN"
"KCBC HAY NIEN (YAN PING) PRI SCH","SUN CHUI ESTATE SHATIN NEW TERRITORIES"
"KOWLOON CITY BAPTIST CH HAY NIEN PRI SCH","CHEVALIER GARDEN 3 HANG SHUN STREET MA ON SHAN SHATIN NEW TERRITORIES"
"LEUNG KUI KAU LUTHERAN PRIMARY SCHOOL","5 ON KING STREET SHATIN NEW TERRITORIES"
"LKWFS WONG YIU NAM PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL AREA 53A KWONG YUEN ESTATE PHASE 1 SHATIN NEW TERRITORIES"
"MA ON SHAN LING LIANG PRIMARY SCHOOL","LEE ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES"
"MA ON SHAN METHODIST PRIMARY SCHOOL","11 HANG MING STREET MA ON SHAN, SHATIN NEW TERRITORIES"
"MA ON SHAN ST. JOSEPH'S PRIMARY SCHOOL","HENG ON ESTATE MA ON SHAN, SHATIN NEW TERRITORIES"
"NG CLAN'S ASSN TAI PAK MEM SCH","KAM YING COURT MA ON SHAN, SHATIN NEW TERRITORIES"
"PLK CHEE JING YIN PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL NO.2 POK HONG ESTATE PHASE II SHATIN NEW TERRITORIES"
"PLK CHONG KEE TING PRIMARY SCHOOL","YIU ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES"
"PLK DR. JIMMY WONG CHI-HO (TSV) P S","LUNG HANG ESTATE SHATIN NEW TERRITORIES"
"PLK RIVERAIN PRIMARY SCHOOL","28 ON CHUN STREET MA ON SHAN SHATIN NEW TERRITORIES"
"PLK SIU HON-SUM PRIMARY SCHOOL","SUI WO COURT AREA 42A SHATIN NEW TERRITORIES"
"SA TIN KA PING SCHOOL","POK HONG ESTATE SHATIN NEW TERRITORIES"
"SHA TIN METHODIST PRIMARY SCHOOL","KWONG YUEN ESTATE SHATIN NEW TERRITORIES"
"SHA TIN WAI DR. CATHERINE F. WOO MEM SCH","2 JAT MIN CHUEN STREET SHATIN NEW TERRITORIES"
"SHATIN TSUNG TSIN SCHOOL","LEK YUEN ESTATE SHATIN NEW TERRITORIES"
"SKH HOLY SPIRIT PRIMARY SCHOOL","LEK YUEN ESTATE SHATIN NEW TERRITORIES"
"SKH MA ON SHAN HOLY SPIRIT PRIMARY SCH","35 NING TAI ROAD MA ON SHAN SHATIN NEW TERRITORIES"
"STEWARDS POOI KEI PRIMARY SCHOOL","LOK HA SQUARE FO TAN SHATIN NEW TERRITORIES"
"THE ELCHK MA ON SHAN LUTHERAN PRI SCH","HENG ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES"
"THE ELCHK WO CHE LUTHERAN SCHOOL","WO CHE ESTATE SHATIN NEW TERRITORIES"
"THE LITTLE FLOWER'S CATHOLIC PRIMARY SCH","ESTATE SCHOOL NO. 1 WO CHE ESTATE PHASE 1 SHATIN NEW TERRITORIES"
"TWGH SIN CHU WAN PRIMARY SCHOOL","ANNEX BLOCK, 38 CHIK FUK STREET TAI WAI  SHATIN NEW TERRITORIES"
"TWGHS TSOI WING SING PRIMARY SCHOOL","19 POK CHUEN STREET SHATIN NEW TERRITORIES"
"SHATIN JUNIOR SCHOOL","PORTION OF G/F, 1/F & 3/F, WHOLE OF 2/F OF NEW BUILDING AT 1 LAI WO LANE & 3A LAI WO LANE FO TAN SHATIN NEW TERRITORIES"
"ANFIELD SCHOOL","NO.1 AND 3 LUNG PAK STREET TAI WAI SHATIN NEW TERRITORIES"
"CARITAS LOK JUN SCHOOL","39 MAN LAI ROAD SHA TIN NEW TERRITORIES"
"CARITAS RESURRECTION SCHOOL","31 SUI WO ROAD SHATIN NEW TERRITORIES"
"CHOI JUN SCHOOL","2 HIN TAI STREET SHATIN NEW TERRITORIES"
"HONG KONG RED CROSS HOSPITAL SCHOOLS","PRINCE OF WALES HOSPITAL 30-32 NGAN SHING STREET SHATIN NEW TERRITORIES"
"SAHK KO FOOK IU MEMORIAL SCHOOL","G/F- 2/F OF BLOCK A & 2/F OF BLOCK C ESTATE PRIMARY SCHOOL NO 2 AND G/F & 1/F WO CHE ESTATE   2 FUNG WO LANE SHATIN NEW TERRITORIES"
"SHATIN PUBLIC SCHOOL","15 CHIK FAI STREET TAI WAI SHATIN NEW TERRITORIES"
"ASSEMBLY OF GOD UNION CHURCH KG","1/F CARPARK AND ANCILLARY FACILITIES BLOCK PHASE 2 YU CHUI COURT SHATIN NEW TERRITORIES"
"BENEVOLENT LIGHT KINDERGARTEN","G/F BLK 7 
							SAU CHUEN HOUSE LEK YUEN ESTATE SHATIN NEW TERRITORIES"
"C&MA JOYFUL PEACE KINDERGARTEN","G/F 
							KAM HUEN HOUSE KAM FUNG COURT MA ON SHAN NEW TERRITORIES"
"CCC, SHATIN CHURCH POK HONG KINDERGARTEN","UNITS 14, 20-31, G/F., POK MAN HOUSE POK HONG ESTATE SHATIN NEW TERRITORIES"
"CUHKFAA THOMAS CHEUNG KINDERGARTEN","KAM YING COURT MA ON SHAN SHATIN NEW TERRITORIES"
"ELCHK SHATIN LUTHERAN KINDERGARTEN","1 TUNG LO WAN HILL ROAD TAI WAI  SHATIN NEW TERRITORIES"
"ESF INTERNATIONAL KG (WU KAI SHA)","LEVEL 1 NO 599 SAI SHA ROAD MA ON SHAN, SHATIN NEW TERRITORIES"
"GOOD HEALTH AC KG (MA ON SHAN)","SADDLE RIDGE GARDEN STTL352 AREA 103 MA ON SHAN  SHATIN NEW TERRITORIES"
"HK&KKFWA SUN FONG CHUNG KG","G/F 
							WAI SAM HOUSE LUNG HANG ESTATE SHATIN NEW TERRITORIES"
"HKCS PARIO KINDERGARTEN (SHATIN)","G/F., HI SHEK HOUSE SHEK MUN ESTATE PHASE 2 SHATIN NEW TERRITORIES"
"IMMACULATE HEART OF MARY KINDERGARTEN","31-37 MAN LAI ROAD SHATIN NEW TERRITORIES"
