"School_Name","Address"
"NTHYK TAI PO DISTRICT SECONDARY SCHOOL","TAI YUEN ESTATE TAI PO NEW TERRITORIES"
"AOG HEBRON SECONDARY SCHOOL","PO NGA COURT TAI PO NEW TERRITORIES"
"BUDDHIST TAI KWONG CHI HONG COLLEGE","4 CHUI YI STREET TAI PO NEW TERRITORIES"
"CARMEL HOLY WORD SECONDARY SCHOOL","10 TAI PO TAI WO ROAD NEW TERRITORIES"
"CARMEL PAK U SECONDARY SCHOOL","ESTATE SECONDARY SCHOOL N0 1 TAI YUEN ESTATE TAI PO NEW TERRITORIES"
"CCC FUNG LEUNG KIT MEMORIAL SEC SCH","22 PLOVER COVE ROAD TAI PO NEW TERRITORIES"
"CHINA HOLINESS CHURCH LIVING SPIRIT COLL","1 TUNG LEUNG LANE TAI PO NEW TERRITORIES"
"CONFUCIAN TAI SHING HO KWOK PUI CHUN COL","AREA 17 FU SHIN ESTATE TAI PO NEW TERRITORIES"
"HK & KLN KFWA SUN FONG CHUNG COLLEGE","4643 TAI PO ROAD, TAI PO KAU TAI PO NEW TERRITORIES"
"HK TEACHERS' ASSN LEE HENG KWEI SEC SCH","WAN TAU TONG ESTATE TAI PO NEW TERRITORIES"
"HKRSS TAI PO SECONDARY SCHOOL","FU HENG ESTATE TAI PO NEW TERRITORIES"
"HKTA THE YUEN YUEN INT NO.2 SEC SCH","FU SHIN ESTATE TAI PO NEW TERRITORIES"
"KAU YAN COLLEGE","FU SHIN ESTATE TAI PO NEW TERRITORIES"
"LING LIANG CHURCH M H LAU SECONDARY SCH","3 YUNG YI ROAD TAI PO NEW TERRITORIES"
"SALEM-IMMANUEL LUTHERAN COLLEGE","TAI YUEN ESTATE TAI PO NEW TERRITORIES"
"SKH BISHOP MOK SAU TSENG SEC SCH","26 WAN TAU KOK LANE TAI PO NEW TERRITORIES"
"VALTORTA COLLEGE","PUI YIN LANE TAI PO NEW TERRITORIES"
"WONG SHIU CHI SECONDARY SCHOOL","182 KWONG FUK ROAD TAI PO NEW TERRITORIES"
"LAW TING PONG SECONDARY SCHOOL","8  MA CHUNG ROAD TAI PO NEW TERRITORIES"
"TAI PO SAM YUK SECONDARY SCHOOL","2 TAI PO TAU DRIVE TAI PO NEW TERRITORIES"
"AMERICAN SCHOOL HONG KONG","(EXCEPT 6/F., R/F.) 6 MA CHUNG ROAD TAI PO NEW TERRITORIES"
"AOG HEBRON EVENING SCHOOL","PO NGA COURT TAI PO NEW TERRITORIES"
"HK TEACHER ASSOCIATION EVENING SEC  SCH","WAN TAU TONG ESTATE TAI PO NEW TERRITORIES"
"MALVERN COLLEGE HONG KONG","3 FO CHUN ROAD TAI PO NEW TERRITORIES"
"TAI KWONG HILARY COLLEGE","LOT NOS. 1934 1639, 1314 S.B IN D.D.6 178 KAM SHAN, TAI PO NEW TERRITORIES"
"TAI PO GOVERNMENT PRIMARY SCHOOL","8 TAI PO TAI WO ROAD TAI PO NEW TERRITORIES"
"EDUHK JOCKEY CLUB PRI SCH","10 LO PING ROAD THE EDUCATION UNIVERSITY OF HONG KONG TAI PO NEW TERRITORIES"
"HK&KLNKW ASSO SUN FONG CHUNG PRI SCH","ESTATE PRIMARY SCHOOL NO. 3 FU SHIN ESTATE, PHASE III, AREA 17 TAI PO NEW TERRITORIES"
"HKTA WUN TSUEN NG LAI WO MEMORIAL SCHOOL","ESTATE PRIMARY SCHOOL NO.3 TAI YUEN ESTATE AREA 16 TAI PO NEW TERRITORIES"
"LAM TSUEN PUB WONG FOOK LUEN MEM SCH","ESTATE PRIMARY SCHOOL 1 TAI WO ESTATE,  PHASE 1 TAI PO NEW TERRITORIES"
"NTW&JWA LEUNG SING TAK PRIMARY SCHOOL","TAI YUEN ESTATE PHASE II TAI PO   (AREA 16) TAI PO NEW TERRITORIES"
