"School_Name","Address"
"TSUEN WAN GOVERNMENT SECONDARY SCHOOL","70 HOI PA STREET TSUEN WAN NEW TERRITORIES"
"AD&FDPOHL LEUNG SING TAK COLLEGE","ESTATE SECONDARY SCHOOL NO 2 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES"
"HO FUNG COLL (SPONSORED BY SIK SIK YUEN)","448 WO YI HOP ROAD KWAI CHUNG NEW TERRITORIES"
"HO KOON NATURE EDU CUM ASTRONOMICAL CTR","101 ROUTE TWISK TSO KUNG TAM PARK TSUEN WAN NEW TERRITORIES"
"LIU PO SHAN MEMORIAL COLLEGE","STANDARD SECONDARY SCHOOL 22-66 WAI TSUEN ROAD TSUEN WAN NEW TERRITORIES"
"LUI MING CHOI LUTHERAN COLLEGE","ESTATE SECONDARY SCHOOL NO. 1 CHEUNG SHAN ESTATE TSUEN WAN NEW TERRITORIES"
"PLK LEE SHING PIK COLLEGE","12 - 20 ON YIN STREET TSUEN KING CIRCUIT CHAI WAN KOK, TSUEN WAN NEW TERRITORIES"
"PLK YAO LING SUN COLLEGE","ESTATE SECONDARY SCHOOL NO 3 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES"
"PO ON COMM ASSN WONG SIU CHING SEC SCH","2 TAI PA STREET TSUEN WAN NEW TERRITORIES"
"SKH LI PING SECONDARY SCHOOL","450 WO YI HOP ROAD KWAI CHUNG NEW TERRITORIES"
"ST FRANCIS XAVIER'S SCHOOL, TSUEN WAN","60 - 64 HAM TIN STREET TSUEN WAN NEW TERRITORIES"
"TEXTILE INT ACC WOO HON FAI SEC SCH","NO. 7  ON YIN STREET TSUEN WAN NEW TERRITORIES"
"TSUEN WAN PUB HO CHUEN YIU MEMORIAL COLL","ESTATE SECONDARY SCHOOL NO 1 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES"
"YCH LIM POR YEN SECONDARY SCHOOL","STANDARD SECONDARY SCHOOL NOS 145-165  TSUEN KING CIRCUIT TSUEN WAN NEW TERRITORIES"
"SEAR ROGERS INTERNATIONAL SCH","PORTION A, 4/F, PODIUM E RIVIERA GARDENS TSUEN WAN NEW TERRITORIES"
"HOI PA STREET GOVERNMENT PRIMARY SCH","1 KAI CHI CLOSE TSUEN WAN NEW TERRITORIES"
"TSUEN WAN GOVERNMENT PRIMARY SCHOOL","600 CASTLE PEAK ROAD, AREA 2 TSUEN WAN NEW TERRITORIES"
"CCC CHUEN YUEN FIRST PRI SCHOOL","36 WING SHUN STREET TSUEN WAN,"
"CCC KEI WAI PRIMARY SCHOOL","167-185 TSUEN KING CIRCUIT TSUEN WAN NEW TERRITORIES"
"CCC KEI WAI PRIMARY SCHOOL (MA WAN)","12 PAK LAM ROAD, PARK ISLAND MA WAN, TSUEN WAN NEW TERRITORIES"
"CHAI WAN KOK CATHOLIC PRIMARY SCHOOL","2-10 ON YIN STREET TSUEN WAN NEW TERRITORIES"
"EMMANUEL PRIMARY SCHOOL","13 MILES CASTLE PEAK ROAD SHAM TSENG NEW TERRITORIES"
"HKTA YUEN YUEN INST SHEK WAI KOK PRI SCH","ESTATE PRIMARY SCHOOL NO. 2 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES"
"HO SHUN PRI SCH (SPSD BY SIK SIK YUEN)","ESTATE SCHOOL NO. 3 LEI MUK SHUE ESTATE NEW TERRITORIES"
"HOLY CROSS LUTHERAN SCHOOL","31 LO TAK COURT TSUEN WAN NEW TERRITORIES"
"HONG KONG BAPTIST CONVENTION PRIMARY SCH","BELVEDERE GARDEN 2 LAI SHUN ROAD TSUEN WAN NEW TERRITORIES"
"KWAI-MING WU MEM SCH OF PRECIOUS BLOOD","LUK YEUNG SUN CHUEN 22-66 WAI TSUEN ROAD TSUEN WAN NEW TERRITORIES"
"LEI MUK SHUE CATHOLIC PRIMARY SCHOOL","ESTATE SCHOOL NO. 2 LEI MUK SHUE ESTATE TSUEN WAN NEW TERRITORIES"
"MARY OF PROVIDENCE PRIMARY SCHOOL","68 HO PUI STREET TSUEN WAN NEW TERRITORIES"
"SHAK CHUNG SHAN MEM CATHOLIC PRI SCH","RIVIERA GARDENS 39 WING SHUN STREET TSUEN WAN NEW TERRITORIES"
