"School_Name","Address"
"SOUTH TUEN MUN GOVERNMENT SEC SCH","218 WU SHAN ROAD TUEN MUN NEW TERRITORIES"
"TUEN MUN GOVERNMENT SECONDARY SCHOOL","393 CASTLE PEAK ROAD CASTLE PEAK BAY TUEN MUN NEW TERRITORIES"
"BAPTIST WING LUNG SECONDARY SCHOOL","TAI HING GARDENS, PHASE II 6A HO HING CIRCUIT TUEN MUN NEW TERRITORIES"
"BUDDHIST SUM HEUNG LAM MEMORIAL COLLEGE","TAI HING ESTATE TUEN MUN NEW TERRITORIES"
"CARITAS TUEN MUN MARDEN FDN SEC SCH","3 WONG YIN STREET TUEN MUN NEW TERRITORIES"
"CARMEL BUNNAN TONG MEMORIAL SEC SCH","WU KING ESTATE TUEN MUN NEW TERRITORIES"
"CCC HOH FUK TONG COLLEGE","28 CASTLE PEAK ROAD, SAN HUI TUEN MUN NEW TERRITORIES"
"CCC TAM LEE LAI FUN MEMORIAL SEC SCH","10, SAN WO LANE, SAN HUI TUEN MUN NEW TERRITORIES"
"CHING CHUNG HAU PO WOON SEC SCH","21 HANG FU STREET TUEN MUN NEW TERRITORIES"
"CHRISTIAN ALLIANCE COLLEGE","11 LEUNG CHOI LANE TUEN MUN NEW TERRITORIES"
"CHRISTIAN ALLIANCE S C CHAN MEM COLL","7 YAU OI ROAD YAU OI ESTATE TUEN MUN NEW TERRITORIES"
"CMA CHOI CHEUNG KOK SECONDARY SCHOOL","NO 1 TSING HOI CIRCUIT TUEN MUN NEW TERRITORIES"
"CSBS MRS AW BOON HAW SEC SCH","20 SIU LUN STREET TUEN MUN NEW TERRITORIES"
"HHCKLA BUDDHIST LEUNG CHIK WAI COLLEGE","WU KING ESTATE TUEN MUN NEW TERRITORIES"
"HO NGAI COLL (SPONSORED BY SIK SIK YUEN)","8 OI MING LANE TUEN MUN NEW TERRITORIES"
"JU CHING CHU SECONDARY SCHOOL (TUEN MUN)","28 YEUNG TSING ROAD TUEN MUN NEW TERRITORIES"
"LUI CHEUNG KWONG LUTHERAN COLLEGE","ON TING ESTATE TUEN MUN NEW TERRITORIES"
"MADAM LAU KAM LUNG SEC SCH OF MFBM","22 CASTLE PEAK ROAD LAM TEI , TUEN MUN NEW TERRITORIES"
"NLSI PEACE EVANGELICAL SECONDARY SCHOOL","3 HANG KWAI STREET TUEN MUN NEW TERRITORIES"
"PAOC KA CHI SECONDARY SCHOOL","273 WU CHUI ROAD TUEN MUN NEW TERRITORIES"
"PLK CENTENARY LI SHIU CHUNG MEM COLL","TAI HING ESTATE TUEN MUN NEW TERRITORIES"
"PLK TANG YUK TIEN COLLEGE","WU KING ESTATE TUEN MUN NEW TERRITORIES"
"SAN WUI COMMERCIAL SOCIETY SEC SCH","ESTATE SECONDARY SCHOOL LEUNG KING ESTATE, AREA 1 TUEN MUN NEW TERRITORIES"
"SEMPLE MEMORIAL SECONDARY SCHOOL","18 SIU LUN STREET TUEN MUN NEW TERRITORIES"
"SKH ST SIMON'S LUI MING CHOI SEC SCH","85 HEUNG SZE WUI ROAD TUEN MUN NEW TERRITORIES"
"SMKMCF MA KO PAN MEM COLLEGE","17 SHEK PAI TAU ROAD TUEN MUN NEW TERRITORIES"
"STFA LEUNG KAU KUI COLLEGE","ESTATE SECONDARY SCHOOL NO. 6 ON TING ESTATE AREA 13 TUEN MUN NEW TERRITORIES"
"STFA TAM PAK YU COLLEGE","YAU OI ESTATE TUEN MUN NEW TERRITORIES"
"TSUNG TSIN COLLEGE","9 LEUNG CHOI LANE TUEN MUN NEW TERRITORIES"
"TUEN MUN CATHOLIC SECONDARY SCHOOL","KIN SANG ESTATE TUEN MUN NEW TERRITORIES"
"TWGH SUN HOI DIRECTORS' COLLEGE","WU KING ESTATE TUEN MUN NEW TERRITORIES"
"TWGH YAU TZE TIN MEM COLLEGE","SIU HONG COURT TUEN MUN NEW TERRITORIES"
"TWGHS MR & MRS KWONG SIK KWAN COLLEGE","CHUNG LING PATH TUEN MUN NEW TERRITORIES"
"YAN CHAI HOSPITAL NO. 2 SECONDARY SCHOOL","STANDARD SECONDARY SCHOOL AREA 31 TUEN MUN NEW TERRITORIES"
"YAN OI TONG TIN KA PING SECONDARY SCHOOL","ESTATE SECONDARY SCHOOL NO. 1 SHAN KING ESTATE TUEN MUN NEW TERRITORIES"
"YOT CHAN WONG SUK FONG MEM SEC SCH","NO. 8 WONG YIN STREET TUEN MUN NEW TERRITORIES"
"YPI&CA LEE LIM MING COLLEGE","ESTATE SECONDARY SCHOOL NO 2 SHAN KING ESTATE TUEN MUN NEW TERRITORIES"
"HARROW INTERNATIONAL SCHOOL HONG KONG","38 TSING YING ROAD TUEN MUN NEW TERRITORIES"
"TUEN MUN GOVERNMENT PRIMARY SCHOOL","SIU HONG COURT TUEN MUN NEW TERRITORIES"
"AD&FDPOH MRS CHENG YAM ON MILL SCH","111 SO KWUN WAT ROAD TUEN MUN NEW TERRITORIES"
"AD&FDPOHL MRS CHENG YAM ON SCHOOL","3 TUEN LEE STREET TUEN MUN NEW TERRITORIES"
"CASTLE PEAK CATHOLIC PRIMARY SCHOOL","2 TUEN MUN HEUNG SZE WUI ROAD TUEN MUN NEW TERRITORIES"
"CCC BUT SAN PRIMARY SCHOOL","28  CASTLE PEAK ROAD, SAN HUI TUEN MUN NEW TERRITORIES"
"CCC HOH FUK TONG PRIMARY SCHOOL","41 LUNG MUN ROAD TUEN MUN NEW TERRITORIES"
"CCC MONG WONG FAR YOK MEMORIAL PRI SCH","TIN KING ESTATE AREA 1 TUEN MUN NEW TERRITORIES"
"FDBWA CHOW CHIN YAU SCHOOL","SIU SHAN COURT, BUTTERFLY ESTATE TUEN MUN NEW TERRITORIES"
"HK ENG CLANSMAN ASSN WU SI CHONG MEM SCH","ESTATE PRIMARY SCHOOL KIN SANG ESTATE TUEN MUN NEW TERRITORIES"
"HKRSS TUEN MUN PRIMARY SCHOOL","LEUNG KING ESTATE AREA 1 TUEN MUN NEW TERRITORIES"
"ISLAMIC PRIMARY SCHOOL","2 OI TAK LANE YAU OI ESTATE TUEN MUN NEW TERRITORIES"
"LKWFS LAU TAK YUNG MEMORIAL PRI SCH","STANDARD PRIMARY SCHOOL 263 WU CHUI ROAD TUEN MUN NEW TERRITORIES"
"LOK SIN TONG LEUNG WONG WAI FONG MEM SCH","SHAN KING ESTATE AREA 7 & 8 TUEN MUN NEW TERRITORIES"
"LUI CHEUNG KWONG LUTHERAN PRIMARY SCHOOL","ON TING ESTATE TUEN MUN NEW TERRITORIES"
"LUTHERAN TSANG SHING SIU LEUN SCHOOL","ESTATE PRIMARY SCHOOL NO 5 PHASE III, BUTTERFLY ESTATE AREA 28 TUEN MUN NEW TERRITORIES"
"PLK FONG WONG KAM CHUEN PRIMARY SCHOOL","LEUNG KING ESTATE TUEN MUN NEW TERRITORIES"
"PLK HORIZON EAST PRIMARY SCHOOL","3 HING FU STREET TUEN MUN NEW TERRITORIES"
"PLK LEUNG CHOW SHUN KAM PRIMARY SCHOOL","WU KING ESTATE TUEN MUN NEW TERRITORIES"
"PLK VICWOOD KT CHONG NO.2 PRIMARY SCHOOL","2 LEUNG CHOI LANE, TUEN MUN NEW TERRITORIES"
"PLK WWCWD FUNG LEE PUI YIU PRI SCH","11 KWUN TSING ROAD SO KWUN WAT TUEN MUN NEW TERRITORIES"
"SKH MUNG YAN PRIMARY SCHOOL","1 KING FUNG PATH TUEN MUN NEW TERRITORIES"
"SRBCEPSA HO SAU KI SCHOOL","ESTATE SCHOOL NO. 1 TIN KING ESTATE TUEN MUN NEW TERRITORIES"
"STFA HO YAT TUNG PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL NO 5 YAU OI ESTATE, AREA 15 TUEN MUN NEW TERRITORIES"
"STFA LEE KAM PRIMARY SCHOOL","23 SO KWUN WAT ROAD TUEN MUN NEW TERRITORIES"
"STFA WU SIU KUI MEMORIAL PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL NO 3 ON TING ESTATE TUEN MUN NEW TERRITORIES"
"TAOIST CHING CHUNG PRI SCH (WU KING EST)","ESTATE PRIMARY SCHOOL NO 1 PHASE 1, WU KING ESTATE, AREA 28 TUEN MUN NEW TERRITORIES"
"TAOIST CHING CHUNG PRIMARY SCHOOL","SHAN KING ESTATE   AREA 7 & 8 TUEN MUN NEW TERRITORIES"
"TOI SHAN ASSOCIATION PRIMARY SCHOOL","14 SHEK PAI TAU ROAD TUEN MUN NEW TERRITORIES"
"TWGH TANG SHIU KIN PRIMARY SCHOOL","ON TING ESTATE TUEN MUN NEW TERRITORIES"
"TYYI CHAN KWOK CHIU HING TAK PRIMARY SCH","HING PING ROAD TUEN MUN NEW TERRITORIES"
"YAN OI TONG MADAM LAU WONG FAT PRI SCH","ESTATE PRIMARY SCHOOL NO 6 ON TING ESTATE TUEN MUN NEW TERRITORIES"
"YAN TAK CATHOLIC PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL NO 2 PHASE II, BUTTERFLY ESTATE TUEN MUN NEW TERRITORIES"
"YCH HO SIK NAM PRIMARY SCHOOL","STANDARD PRIMARY SCHOOL, AREA 16 TUEN MUN NEW TERRITORIES"
"YCH LAW CHAN CHOR SI PRIMARY SCHOOL","29 WU KING ROAD TUEN MUN NEW TERRITORIES"
"PLK HK TAOIST ASSN YUEN YUEN PRIMARY SCH","26 TSING HOI CIRCUIT CASTLE PEAK ROAD TUEN MUN NEW TERRITORIES"
"R.T.C. GAIA SCHOOL","DD 131  TSENG TAU SHEUNG TSUEN  SAN HUI TUEN MUN NEW TERRITORIES"
"HONG CHI  MORNINGLIGHT SCHOOL, TUEN MUN","2 YUK TSING LANE TUEN MUN NEW TERRITORIES"
"HONG CHI MORNINGHILL SCHOOL, TUEN MUN","2 YUK TSING LANE TUEN MUN NEW TERRITORIES"
"HONG CHI MORNINGHOPE SCHOOL, TUEN MUN","NO 2 TSING LUN ROAD TUEN MUN NEW TERRITORIES"
"HONG KONG CHRISTIAN SERVICE PUI OI SCH","6 AND 8 HANG KWAI STREET TUEN MUN NEW TERRITORIES"
"HONG KONG RED CROSS HOSPITAL SCHOOLS","CASTLE PEAK HOSPITAL 15 TSING CHUNG KOON ROAD TUEN MUN NEW TERRITORIES"
"TUNG WAN MOK LAW SHUI WAH SCHOOL","12 WONG YIN STREET TUEN MUN NEW TERRITORIES"
"BAPTIST CONVENTION OF HK PO TIN KG","NO. 202, 2/F, PO TIN SHOPPING CENTRE TUEN MUN NEW TERRITORIES"
"CANNAN KINDERGARTEN (PRIME VIEW GARDEN)","THE GROUND FLOOR OF TOWER 4 (PORTION) & TOWER 5, 2 KING FUNG PATH PRIME VIEW GARDEN TUEN MUN NEW TERRITORIES"
"CCC TUEN MUN CHURCH NO. 2 KINDERGARTEN","1/F, 29 TSENG CHOI STREET TUEN MUN NEW TERRITORIES"
"CHING CHUNG WU KING KINDERGARTEN","WU KWONG HOUSE (BLOCK 2) GR FL, LOW BLOCK, WU KING  ESTATE TUEN MUN NEW TERRITORIES"
"GUIDEPOSTS KG (TUEN MUN BRANCH)","G/F 
							TING YIN HOUSE SIU ON COURT TUEN MUN NEW TERRITORIES"
"GUIDEPOSTS KG 2ND BR (KIN SANG ESTATE)","G/F, WINGS A & B, YU SANG HOUSE KIN SANG ESTATE TUEN MUN NEW TERRITORIES"
"KARLAM KG (TUEN MUN BRANCH)","ENTRANCE OF G/F. AND WHOLE OF 1/F. HONLEY COURT 94 - 110 TUEN MUN HEUNG SZE WUI ROAD TUEN MUN NEW TERRITORIES"
"KIN SANG LUTHERAN KINDERGARTEN","G/F 
							WINGS A&B, HONG SANG HOUSE KIN SANG ESTATE TUEN MUN NEW TERRITORIES"
"LKWFS CHU SUI LAN ANGLO-CHINESE KG","UNIT NO 1 - 10, G/F, LEUNG KIT HOUSE LEUNG KING ESTATE TUEN MUN NEW TERRITORIES"
"LOK SIN TONG CHEUNG YIP MOU CHING KG","UNITS 1 - 5  &  11 - 15  (WINGS A & B) G/F, SIU KEUNG HOUSE, SIU KWAI COURT TUEN MUN NEW TERRITORIES"
"LST TANG TAK LIM KINDERGARTEN","KINDERGARTEN NO. 2, 1/F ANCILLARY FACILITIES BLOCK, FU TAI ESTATE TUEN MUN NEW TERRITORIES"
"LUI CHEUNG KWONG LUTHERAN KINDERGARTEN","G/F., HIGH BLOCK, OI LIM HOUSE YAU OI ESTATE TUEN MUN NEW TERRITORIES"
"MELODY ANGLO-CHINESE KINDERGARTEN","SHOP 180, G/F., MELODY GARDEN 2 WU CHUI ROAD TUEN MUN NEW TERRITORIES"
"PLK CHOI KOON SHUM KINDERGARTEN","G/F & 1/F, AFFLUENCE GARDEN NO. 33 TSING CHUNG KOON ROAD TUEN MUN NEW TERRITORIES"
"PLK THOMAS LIU LIT CHING  KINDERGARTEN","G/F., CHING HAY HOUSE CHING TIN ESTATE TUEN MUN NEW TERRITORIES"
"PLK TIN KA PING SIU HONG KINDERGARTEN","LEVEL 3 COMMERCIAL CENTRE SIU HONG COURT TUEN MUN NEW TERRITORIES"
"REGINA COELI ANGLO-CHINESE KG (2ND BR)","11 - 16, G/F, MOON YU HOUSE SAM SHING ESTATE TUEN MUN NEW TERRITORIES"
"REGINA COELI ANGLO-CHINESE KINDERGARTEN","G/F & 1/F, HING SHING HOUSE TAI HING ESTATE TUEN MUN NEW TERRITORIES"
"SKH ST PETER'S CH CP SIU LUN COURT KG","G/F 
							COMMERCIAL CENTRE, SIU LUN COURT TUEN MUN NEW TERRITORIES"
"SKH ST PETER'S CH SHAN KING ESTATE KG","NO 1 - 11, G/F, KING KWAI HOUSE SHAN KING ESTATE, PHASE I TUEN MUN NEW TERRITORIES"
"SKH ST PETER'S CHURCH KG (CASTLE PEAK)","TSING WUN ROAD TUEN MUN NEW TERRITORIES"
"STFA TM LEUNG LEE SAU YU KINDERGARTEN","G/F 
							TING HONG HOUSE ON TING ESTATE TUEN MUN NEW TERRITORIES"
"TIN KING EST BAPT LUI KWOK PAT FONG KG","G/F, UNITS 1-10 SIU PONG COURT TUEN MUN NEW TERRITORIES"
"TRUTH BAPTIST CHURCH EMPOWER KG","NO. 1, 1/F, ANCILLARY FACILITIES BLOCK FU TAI ESTATE 9 TUEN KWAI ROAD TUEN MUN NEW TERRITORIES"
"TWGH KO TECK KIN MEMORIAL KINDERGARTEN","G/F 
							OI MING HOUSE YAU OI ESTATE TUEN MUN NEW TERRITORIES"
"TWGH LEE WONG HING CHEUNG MEMORIAL KG","WINGS A & B, G/F KING LAI HOUSE (BLOCK 9) SHAN KING ESTATE, PHASE III TUEN MUN NEW TERRITORIES"
"TWGHS KATHERINE MA KINDERGARTEN","GROUND FLOOR, YAT TIN HOUSE (BLOCK 2) YAN TIN ESTATE TUEN MUN NEW TERRITORIES"
"YAN CHAI HOSPITAL YIM TSUI YUK SHAN KG","GROUND FLOOR, WO LAI HOUSE WO TIN ESTATE TUEN MUN NEW TERRITORIES"
"YAN OI TONG ALLAN YAP KINDERGARTEN","G/F, LOW BLOCK, WU BOON HOUSE WU KING ESTATE TUEN MUN NEW TERRITORIES"
"YAN OI TONG NGAN PO LING KINDERGARTEN","G/F, OI YEE HOUSE YAU OI ESTATE TUEN MUN NEW TERRITORIES"
"AGNES ENGLISH KINDERGARTEN","TSUI NING GARDEN, AREA 16 TMTL 338, TUEN MUN NEW TERRITORIES"
"CCC TUEN MUN CHURCH KG","G/F 
							29 TSENG CHOI STREET NEW TERRITORIES"
"CREATIVE KINDERGARTEN (AEGEAN COAST)","1/F, PODIUM, AEGEAN COAST 2 KWUN TSING ROAD, SO KWUN WAT TUEN MUN NEW TERRITORIES"
"CREATIVE KINDERGARTEN (TUEN MUN BRANCH)","G/F 
							PHASE 2, TAI HING GARDENS 5A HO HING CIRCUIT TUEN MUN NEW TERRITORIES"
"FU TAI LUTHERAN DAY NURSERY","G/F 
							OI TAI HOUSE FU TAI ESTATE TUEN MUN NEW TERRITORIES"
"HKSKH ST. SIMON'S LEUNG KING NURSERY SCH","NO. 9-16, G/F, LEUNG CHI HOUSE LEUNG KING ESTATE TUEN MUN NEW TERRITORIES"
"HKSKH ST. SIMON'S TAI HING NURSERY SCH","G/F, PHASE 1, COMMERCIAL COMPLEX TAI HING ESTATE TUEN MUN NEW TERRITORIES"
"HKSPC BUTTERFLY ESTATE NURSERY SCHOOL","NO 124-130 , G/F, TIP MO HOUSE BUTTERFLY ESTATE TUEN MUN NEW TERRITORIES"
"HKYWCA ON TING NURSERY SCHOOL","5/F AND ROOF PLAYGROUND ON TING/YAU OI COMMUNITY CENTRE ON TING ESTATE TUEN MUN NEW TERRITORIES"
"HOH FUK TONG KG (TM CH, CCC, HK CCL)","G/F BLK 8 
							TIP MO HOUSE BUTTERFLY ESTATE TUEN MUN NEW TERRITORIES"
"JING JING INTERNATIONAL KINDERGARTEN","SHOP NOS 47 - 54, G/F, CHI LOK FA YUEN 18 TSING HOI CIRCUIT TUEN MUN NEW TERRITORIES"
"JING JING KG (TUEN MUN BRANCH)","UPPER G/F., SHOP 5, 10 - 11, 13 - 20 AND 23 - 24, COMMON BOND SHOPPING ARCADE 7 TSING CHUI PATH TUEN MUN NEW TERRITORIES"
"JOYFUL WORLD INTERNATIONAL KG (TUEN MUN)","SHOP 2 - 3 ON 2ND FLOOR OF COMMERCIAL COMPLEX TAI HING GARDENS PHASE II 10A HO HING CIRCUIT, TUEN MUN NEW TERRITORIES"
"KIN SANG BAPTIST CHURCH BRADBURY PRE SCH","G/F, TAI SANG HOUSE KIN SANG ESTATE TUEN MUN NEW TERRITORIES"
"LEUNG KING LUTHERAN DAY NURSERY","5/F 
							LEUNG KING ESTATE COMMUNITY CENTRE LEUNG KING ESTATE TUEN MUN NEW TERRITORIES"
"LITTLE NEWTON ANGLO-CHINESE KINDERGARTEN","1/F., NAM KWONG BUILDING 11A TSENG CHOI STREET TUEN MUN NEW TERRITORIES"
"MELODY AC KG (PRIME VIEW GARDEN BR)","G/F, TOWER 1 & 2, PRIME VIEW GARDEN TUEN MUN (INCLUDING CHILD CARE CENTRE) NEW TERRITORIES"
"MELODY NURSERY (MELODY GARDEN)","G/F 
							SHOP 181 MELODY GARDEN 2 WU CHUI ROAD TUEN MUN NEW TERRITORIES"
"PLK MALINA NGAI (BUTTERFLY BAY) KG","5/F, BUTTERFLY BAY COMMUNITY CENTRE TUEN MUN NEW TERRITORIES"
"PLK MALINA NGAI (YAU OI) KG","G/F, BLOCK 6, OI LAI HOUSE YAU OI ESTATE TUEN MUN NEW TERRITORIES"
"SA SAM SHING NURSERY SCH","GROUND FLOOR ADJACENT TO MOON YU HOUSE SAM SHING ESTATE TUEN MUN NEW TERRITORIES"
"SKH S P CH CASTLE PEAK TSING WUN RD KG","PORTION OF G/F & 1/F, BLOCK C 22 TSING WUN ROAD TUEN MUN NEW TERRITORIES"
"SUNKIDS KINDERGARTEN","G/F, NO 2A KINDERGARTEN, YUET WU VILLA 2 WU SAU STREET TUEN MUN NEW TERRITORIES"
"TWGHS  FONG TAM YUEN LEUNG NURSERY SCH","G/F 
							FLAT 1-5, TIN YUE HOUSE TIN KING ESTATE TUEN MUN NEW TERRITORIES"
"TWGHS TIN KA PING NURSERY SCH","2/F 
							TIP LING HOUSE BUTTERFLY ESTATE TUEN MUN NEW TERRITORIES"
"W.F.B. AVALOKITESVARA NURSERY SCH","1/F 
							CARPORT BLOCK LUNG MUN OASIS TUEN MUN NEW TERRITORIES"
"W.F.B. MANTRA INSTITUTE NURSERY SCH","G/F 
							SHOP 2, SIU HEI COMMERCIAL CENTRE SIU HEI COURT TUEN MUN NEW TERRITORIES"
"WELLCOME INTERNATIONAL KINDERGARTEN","KINDERGARTEN & NURSERY, G/F THE SHERWOOD 8 FUK HANG TSUEN ROAD LAM TEI, TUEN MUN NEW TERRITORIES"
"YAN CHAI HOSPITAL SHAN KING KINDERGARTEN","ADJACENT TO COMMUNITY HALL SHAN KING ESTATE PHASE 1 TUEN MUN NEW TERRITORIES"
"YAN CHAI HOSPITAL YAU OI KINDERGARTEN","G/F, OI FAI HOUSE YAU OI ESTATE TUEN MUN NEW TERRITORIES"
"YAN OI TONG LAU WONG FAT KINDERGARTEN","3/F 
							YAN OI TONG JOCKEY CLUB COMMUNITY AND INDOOR SPORTS CENTRE 18 KAI MAN PATH TUEN MUN NEW TERRITORIES"
"YAN OI TONG TIN KA PING KG","PODIUM LEVEL, SIU HANG HOUSE & SIU SHUN HOUSE SIU HONG COURT TUEN MUN NEW TERRITORIES"
"YORK INTERNATIONAL PRE-SCHOOL (TUEN MUN)","KINDERGARTEN PREMISES, LE PONT NO. 99 SO KWUN WAT ROAD TUEN MUN NEW TERRITORIES"
"ZENITH KINDERGARTEN (SIU HONG)","SHOP NO. 29, G/F. NOVO WALK, NOVO LAND 8 YAN PO ROAD TUEN MUN NEW TERRITORIES"
"A + LEARN SMART EDUCATION CENTRE","SHOP 10, G/F., LOOK YUEN 6 TSING PAK PATH TUEN MUN NEW TERRITORIES"
"ALPHA SELECT TUTORIAL CENTRE","SHOP NO N-303 & N-304 ON TING SHOPPING CENTRE ON TING ESTATE TUEN MUN NEW TERRITORIES"
"APEX EDUCATION CENTRE (TUEN MUN)","SHOP 57A & 57B, 1/F. TAI HING COMMERCIAL BLOCK 1 TAI HING ESTATE, 1 TAI HING STREET TUEN MUN NEW TERRITORIES"
"AT-LANGUAGE EDUCATION CENTRE (TUEN MUN)","SHOP 154, 1/F. TUEN MUN PARKLANE SQUARE 2 TUEN HI ROAD TUEN MUN NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (TM SOUTH)","SHOP G-32, G/F., REGENCY BAY 23 HOI WONG ROAD TUEN MUN NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (TUEN MUN)","SHOP G01, G/F., TUEN MUN PARKLANE SQUARE 2 TUEN HI ROAD TUEN MUN NEW TERRITORIES"
