"School_Name","Address"
"FANLING GOVERNMENT SECONDARY SCHOOL","27 YAT MING ROAD FANLING NEW TERRITORIES"
"SHEUNG SHUI GOVERNMENT SECONDARY SCHOOL","21 PAK WO ROAD SHEUNG SHUI NEW TERRITORIES"
"CARITAS FANLING CHAN CHUN HA SEC SCH","28 SAN WAN ROAD FANLING NEW TERRITORIES"
"CCC KEI SAN SECONDARY SCHOOL","8 WU TIP SHAN ROAD FANLING NEW TERRITORIES"
"CHRISTIAN ALLIANCE S W CHAN MEM COLL","12, FAI MING ROAD, FANLING NEW TERRITORIES"
"DE LA SALLE SECONDARY SCHOOL N T","KAM TSIN VILLAGE SHEUNG SHUI NEW TERRITORIES"
"ELEGANTIA COLLEGE (SPONSORED BY ED CONV)","8, CHING SHING ROAD, SHEUNG SHUI NEW TERRITORIES"
"FANLING KAU YAN COLLEGE","3 YAN SHING LANE FANLING NEW TERRITORIES"
"FANLING RHENISH CHURCH SECONDARY SCHOOL","1 LUEN YICK STREET, LUEN WO MARKET FANLING NEW TERRITORIES"
"FUNG KAI LIU MAN SHEK TONG SEC SCH","6 FUNG NAM ROAD SHEUNG SHUI NEW TERRITORIES"
"FUNG KAI NO.1 SECONDARY SCHOOL","17 JOCKEY CLUB ROAD SHEUNG SHUI NEW TERRITORIES"
"HHCKLA BUDDHIST MA KAM CHAN MEM ENG SE S","LUEN WO MARKET 9 LUEN YICK STREET FANLING NEW TERRITORIES"
"HKTA TANG HIN MEMORIAL SECONDARY SCHOOL","CHOI YUEN ESTATE SHEUNG SHUI NEW TERRITORIES"
"PLK MA KAM MING COLLEGE","38 WAH MING ROAD FANLING NEW TERRITORIES"
"SKH CHAN YOUNG SECONDARY SCHOOL","6 CHI CHEONG ROAD SHEUNG SHUI NEW TERRITORIES"
"ST FRANCIS OF ASSISI'S COLLEGE","1 YAN SHING LANE FANLING NEW TERRITORIES"
"TIN KA PING SECONDARY SCHOOL","1 WAI HON ROAD FANLING NEW TERRITORIES"
"TWGH KAP YAN DIRECTORS' COLLEGE","CHOI YUEN ESTATE SHEUNG SHUI NEW TERRITORIES"
"TWGH LI KA SHING COLLEGE","CHEUNG WAH ESTATE FANLING NEW TERRITORIES"
"FANLING LUTHERAN SECONDARY SCHOOL","270 JOCKEY CLUB ROAD FANLING NEW TERRITORIES"
"INTERNATIONAL COLLEGE HONG KONG (NT)","60 SHA TAU KOK ROAD SHA TAU KOK NEW TERRITORIES"
"RUDOLF STEINER EDU FDN HK MARIA COLLEGE","ROOM 402, 403A, 403-407, 4/F. FANLING GOVERNMENT SECONDARY SCHOOL 27 YAT MING ROAD FANLING NEW TERRITORIES"
"FANLING GOVERNMENT PRIMARY SCHOOL","CHEUNG WAH ESTATE FANLING NEW TERRITORIES"
"ALLIANCE PRIMARY SCHOOL, SHEUNG SHUI","2 WO MUK ROAD, AREA 18 FANLING NEW TERRITORIES"
"FANLING ASSEMBLY OF GOD CHURCH PRI SCH","2 WO MING LANE FANLING NEW TERRITORIES"
"FANLING PUBLIC SCHOOL","FANLING VILLAGE FANLING NEW TERRITORIES"
"FSFTF FONG SHU CHUEN PRI SCH","WAH MING ESTATE PHASE II FANLING NEW TERRITORIES"
"FUK TAK EDUCATION SOCIETY PRIMARY SCHOOL","SHAN TSUI VILLAGE SHA TAU KOK NEW TERRITORIES"
"FUNG KAI INNOVATIVE SCHOOL","19A JOCKEY CLUB ROAD SHEUNG SHUI NEW TERRITORIES"
"FUNG KAI LIU YUN-SUM MEMORIAL SCHOOL","WAH MING ESTATE PHASE I FANLING NEW TERRITORIES"
"FUNG KAI NO.1 PRIMARY SCHOOL","15 & 19 JOCKEY CLUB ROAD SHEUNG SHUI NEW TERRITORIES"
"HHCKLA BUDDHIST CHAN SHI WAN PRIMARY SCH","CHOI YUEN ESTATE SHEUNG SHUI NEW TERRITORIES"
"HHCKLA BUDDHIST CHING KOK LIN ASS SCHOOL","12 YAT MING ROAD FANLING NEW TERRITORIES"
"HHCKLA BUDDHIST WISDOM PRI SCH","6 CHING SHING ROAD SHEUNG SHUI NEW TERRITORIES"
"KAM TSIN VILLAGE HO TUNG SCHOOL","KAM TSIN VILLAGE SHEUNG SHUI NEW TERRITORIES"
"LEE CHI TAT MEMORIAL SCHOOL","30 TIN PING ROAD SHEK WU HUI, SHEUNG SHUI NEW TERRITORIES"
"PENTECOSTAL GIN MAO SHENG PRIMARY SCHOOL","4  PIK FUNG ROAD FANLING NEW TERRITORIES"
"PENTECOSTAL YU LEUNG FAT PRIMARY SCHOOL","16 FAI MING ROAD FANLING NEW TERRITORIES"
"PUI LING SCHOOL OF THE PRECIOUS BLOOD","13 ON LOK MUN STREET ON LOK TSUEN FANLING NEW TERRITORIES"
"SHA TAU KOK CENTRAL PRIMARY SCHOOL","SHA TAU KOK HUI SHA TAU KOK NEW TERRITORIES"
"SHEK WU HUI PUBLIC SCHOOL","TIN PING ESTATE SHEUNG SHUI NEW TERRITORIES"
"SKH KA FUK WING CHUN PRIMARY SCHOOL","PRIMARY SCHOOL, KA FUK ESTATE FANLING NEW TERRITORIES"
"SKH WING CHUN PRIMARY SCHOOL","NO 3 KAT CHEUNG CRESCENT FANLING NEW TERRITORIES"
"TA KU LING LING YING PUBLIC SCHOOL","CHOW TIN VILLAGE TA KU LING NORTH DISTRICT NEW TERRITORIES"
"THE SALVATION ARMY CCF QUEEN'S HILL SCH","2 LUNG CHUN ROAD FANLING, NEW TERRITORIES"
"TSANG MUI MILLENNIUM SCHOOL","1 CHING SHING ROAD SHEUNG SHUI NEW TERRITORIES"
