名,所屬集團,落成年份,地址,圖片
愉景廣場,"香港興業國際集團
中信泰富有限公司",1977年,大嶼山愉景灣廣場徑8號,
愉景北商場,香港興業國際集團,2010年,大嶼山愉景灣海澄湖畔路92號,
迎東商場,香港房屋委員會,2018年,大嶼山東涌迎東路12號迎東邨,
昇薈商場,南豐集團,2016年,大嶼山東涌迎康街1號,
東環商場,新鴻基集團,2017年,大嶼山東涌迎康街6號,
裕雅商場,香港房屋委員會,2023年,大嶼山東涌怡東路8號裕雅苑,
T Bay,世茂房地產,2020年,大嶼山東涌怡東路9號,
映灣薈,"置富產業信託
香港鐵路有限公司",2004年,大嶼山東涌健東路1號,
藍天海岸商場,"香港興業國際集團
香港鐵路有限公司
豐隆控股",2004年,大嶼山東涌海濱路12號,
海堤灣畔商場,,2009年,大嶼山東涌海濱路8號,
東薈城,"恒隆地產有限公司
恒基兆業地產有限公司
新世界發展有限公司
新鴻基地產
太古地產有限公司","2000年（第一期）
2019年（第二期）",大嶼山東涌達東路20號,
富東商場,領展房產基金,1997年,大嶼山東涌富東街6號富東邨,
逸東商場,領展房產基金,2001年,大嶼山東涌逸東街8號逸東邨,
滿樂坊,香港房屋委員會,2018年,大嶼山東涌松滿路7號滿東邨,
昂坪市集,昂坪360有限公司,2006年,昂坪路111號,
11 SKIES,新世界發展,2023年,赤鱲角香港國際機場航天城東路6號,
梅窩中心,,,梅窩銀礦灣銀運路3號,
銀河灣畔商場,信和置業,2016年,梅窩銀河灣畔,
銀礦中心大廈,,1976年,梅窩梅窩碼頭路10號,
嘉暉花園（惠康超市坪洲分店）,嘉華集團,,坪洲寶坪街,
