名,所屬集團,落成年份,地址,圖片
The Wai 圍方,港鐵公司,2023年,大圍車公廟路18號,
顯徑商場,領展房產基金,1987年,大圍顯徑邨,
隆亨商場,領展房產基金,1983年,大圍田心街1號隆亨邨,
美田商場,香港房屋委員會,2006年,大圍香粉寮街美田邨,
美林商場,領展房產基金,1981年,大圍美田路30號美林邨,
金禧商場,新鴻基地產,1985年,大圍積輝街14-18號,
新翠商場,領展房產基金,1983年,大圍翠田街2號新翠邨,
秦石商場,基匯資本,1984年,大圍秦石邨,
新田圍商場,順聯集團,1981年,大圍沙田頭路29號新田圍邨,
雲疊花園商場,"王氏工業 (集團) 有限公司
均利建築有限公司
李就記（集團）有限公司
Pentam Limited",1989年,大圍田心街20-30號雲疊花園,
海福花園商場,中國海外,1985年,大圍積運街2-8號,
美松苑商鋪（7-11美松苑分店）,蔡伯能,1996年,沙田美田路25-35號美松苑,
希爾頓中心,華懋集團,1985年,沙田正街3-9號,
偉華商場,陳偉沙田新市發展有限公司,1986年,沙田正街11-17號,
新城市廣場,新鴻基地產,"1985年（第一期）
1990年（第三期）","沙田正街17-18號（第一期）
沙田正街2至8號（第三期）",
Citylink,香港鐵路有限公司,1983年,沙田沙田車站圍1號,
HomeSquare,新鴻基地產,1995年,沙田沙田鄉事會路138號,
沙田中心同埋沙田廣場,恒基兆業地產有限公司,"1981年（沙田中心）
1988年（沙田廣場）","沙田橫壆街2-16號（沙田中心）
沙田正街21-27號（沙田廣場）",
好運中心,"華懋集團
新鴻基地產",1983年,沙田橫壆街1-15號,
瀝源廣場,領展房產基金,1976年,沙田瀝源街6號,
禾輋廣場,領展房產基金,1977年,沙田德厚街3號,
蔚景園商場,新鴻基地產,1989年,沙田沙田正街1號,
穗禾商場,英皇國際,1980年,火炭穗禾路13號穗禾苑,
沙田商業中心,信和置業,1997年,火炭山尾街18-24號,
銀禧薈,置富產業信託,1988年,火炭樂景街2-18號,
駿景廣場,港鐵公司,1996年,火炭駿景路1號,
駿洋商場,香港房屋委員會,2020年,火炭黃竹洋街28號駿洋邨,
星凱·堤岸商場,中洲控股,2024年,火炭坳背灣街1號,
御龍山,"港鐵公司
信和置業",2009年,火炭樂景街28號,
沙角商場,領展房產基金,1980年,沙田圍沙角街5號沙角邨,
博康商場,香港房屋委員會,1982年,沙田圍博康邨,
水泉澳廣場,香港房屋委員會,2016年,沙田圍水泉澳博泉街1號水泉澳邨,
花園城,華懋集團,1984年,沙田圍沙角街,
富豪花園商場,華懋集團,1982年,沙田圍大涌橋路52號,
乙明邨商場,香港房屋協會,1981年,沙田圍乙明邨街3、11、17號,
置富第一城,"置富產業信託(50%)
恒基兆業地產(25%)
新世界集團(25%)","1982年（置富第一城）
1986年（置富第一城．樂薈）",銀城街1、2號/樂城街6號,
愉田苑商場,香港房屋委員會,1983年,銀城街17號,
愉翠商場,領展房地產投資信託基金,2001年,牛皮沙街6號愉翠苑,
廣源商場,領展房地產投資信託基金,1991年,小瀝源小瀝源路68號廣源邨,
碩門商場,香港房屋委員會,2019年,安睦街18號碩門邨,
"京瑞廣場
OK Mall","億京
分散業權","2016年 （京瑞廣場）
2017年 (OK Mall)",安群街1同3號,
香港沙田萬怡酒店,南豐集團,2013年,安平街1號,
富安花園商場,分散業權,1988年,大水坑富安花園,
錦泰商場,基滙資本,2001年,馬鞍山寧泰路33號錦泰苑,
We Go MALL,"百利保控股
富豪酒店國際控股",2018年,馬鞍山保泰街16號,
頌安商場,領展房地產投資信託基金,1996年,馬鞍山西沙路632號頌安邨,
恆安商場,領展房地產投資信託基金,1987年,馬鞍山恆安邨,
耀安商場,領展房地產投資信託基金,1989年,馬鞍山恆康街2號耀安邨,
欣安商場,香港房屋委員會,"一期商舖：2011年
二期商場：2024年",馬鞍山恆智街3號欣安邨,
福安花園商場,分散業權,1992年,馬鞍山福安花園,
雅濤居購物商場,信和置業有限公司,1997年,馬鞍山鞍駿街15號,
迎濤灣廣場,華懋集團,2001年,馬鞍山鞍駿街23號,
新港城中心大街（一期至三期）同埋新港城中心（四期至五期）,恒基兆業地產,"1993年（一期至二期）
1994年（三期至四期）
1995年（五期）","馬鞍山鞍誠街18號（一期）
馬鞍山鞍誠街22號（二期）
馬鞍山鞍誠街8號（三期）
馬鞍山鞍祿街8號（四期）
馬鞍山西沙路5號（五期）",
馬鞍山廣場,置富產業信託,1994年,馬鞍山西沙路608號,
富輝商場,分散業權,1991年,馬鞍山富輝花園,
馬鞍山中心,南豐集團,1994年,馬鞍山鞍駿街1號,
富寶商場,分散業權,1993年,馬鞍山富寶花園,
錦英商場,盈信控股,1991年,馬鞍山錦英路9號錦英苑,
利安商場,基滙資本,1993年,馬鞍山利安邨,
迎海薈,"恒基兆業地產有限公司
新世界集團
培新集團",2014年,馬鞍山烏溪沙路8號,
銀湖·天峰商場,宏安地產,2009年,馬鞍山西沙路599號,
