名,所屬集團,落成年份,地址,圖片
富華中心商場,,,荃灣西樓角路,
華都中心,南豐集團,1989年,荃灣西樓角路,
荃豐中心,分散業權,1987年,荃灣西樓角路,
昌寧商場,分散業權,,荃灣西樓角路,
昌安商場,分散業權,,荃灣西樓角路,
豪輝商業中心,,,荃灣西樓角路,
綠楊坊,香港鐵路有限公司,1983年,荃灣蕙荃路22至66號,
荃灣千色匯,恒基兆業地產有限公司,"1989年（2期）
1996年（1期）","荃灣眾安街68號（1期）
荃灣荃灣街市街67-95號（2期）",
大鴻輝（荃灣）中心,大鴻輝集團,1991,荃灣眾安街,
地皇廣場,"尹柏權
分散業權",2014年,荃灣大河道18號,
荃立方,"尹柏權
分散業權",2014年,荃灣海壩街122-132A號,
荃灣新之城,華潤置地,1983年,荃灣西樓角路,
南豐中心,"分散業權
華潤置地",1982年,荃灣青山公路－荃灣段,
荃錦中心,新鴻基地產,1986年,荃灣青山公路－荃灣段342號,
新領域廣場,新鴻基地產,1998年,荃灣西樓角路1號,
中染新城,香港興業國際集團,1982年,荃灣青山公路－荃灣段388號,
愉景新城,華懋集團,1997年,荃灣青山公路－荃灣段398號,
百悅坊,,,荃灣川龍街,
南豐店堂,南豐集團,2018年,荃灣柴灣角白田壩街45號,
寶石大廈商鋪（328廣場）,香港房屋協會,1996年,荃灣沙咀道328號,
Plaza 88,億京發展,2020年,荃灣楊屋道88號,
荃薈,置富產業信託,,荃灣荃華街,
富麗花園商場,,,荃灣荃華街,
荃灣廣場,新鴻基地產,1992年,荃灣大壩街4-30號,
灣景廣場,恒基兆業地產有限公司,1995年,荃灣大河道88號,
海灣花園購物商場,信和置業有限公司,1992年,荃灣永順街38號,
悅來坊商場,合和實業有限公司,2005年,荃灣荃華街3號,
富利達中心,,,荃灣德海街,
如心廣場,華懋集團,"2008年（一期商場）
2019年（二期商場）","荃灣楊屋道8號（一期商場）
荃灣大河道98號（二期商場）",
荃新天地,"信和置業
市區重建局","2007年（第1期）
2009年（第2期）","荃灣楊屋道1號 （第1期）
荃灣楊屋道18號（第2期）",
協和廣場,太平協和集團,2003年,荃灣新村街39號/川龍街88號,
樂悠Circle,東利地產,2006年,荃灣楊屋道138號,
海之戀商場,長江實業地產,2018年,荃灣大河道100號,
石圍角新城,高士威集團,1982年,石圍角路3號,
象山商場,香港房屋委員會,1979年,象山邨西路,
梨木樹商場,香港房屋委員會,2004年,和宜合道389號,
荃灣中心一期商場,新鴻基地產,1980年,荃景圍,
荃灣中心二期商場,新鴻基地產,1981年,荃景圍,
荃威花園購物商場,,1978年,荃景圍,
麗城薈,置富產業信託,1990年,荃灣西約青山公路－荃灣段620號,
翠濤閣商場,長江實業,1982年,荃灣西約青山公路－荃灣段644-654號,
灣景花園商場,美建集團,1991年,荃灣西約青山公路－荃灣段633號,
碧堤坊,廣盈發展有限公司,2006年,深井青山公路－深井段33號,
麗都大道,置富產業信託,1989年,深井青山公路－深井段,
海韻大道,置富產業信託,1992年,深井青山公路－深井段,
豪景花園商場,華懋集團,1986年,深井青山公路－青龍頭段,
陳記商業中心,深井陳記,,深井青山公路－深井段48號,
陳記廣場,深井陳記,1986年,深井青山公路－深井段42號,
珀麗灣臨海廣場,新鴻基地產,2002年,馬灣珀麗灣珀麗路8號,
