"路線號","起訖點","全程收費"
"230R","九龍站↔馬灣（珀欣路）●","$14.7"
"230X","荃灣（荃威花園）→黃埔花園●","$10.6"
"234A","深井（浪翠園）↔荃灣西站●","$6.8"
"234B","荃灣西站↔深井（浪翠園）●","$5.6"
"234C","深井↔觀塘（翠屏北邨）●","$11.1"
"234D","青龍頭↔觀塘（翠屏北邨）●","$11.8"
"234P*","荃灣（灣景花園）→尖沙咀碼頭●","$9.8"
"234X","荃灣（灣景花園）↔尖沙咀東（麼地道）●","$9.8"
"235","葵涌（安蔭邨）↺荃灣●","$4.8"
"235M","葵涌（安蔭邨）↔葵芳站●","$4.5"
"238M","荃灣（海濱花園）↔荃灣站●","$4.0"
"238P*","荃灣（海濱花園）→中港碼頭●","$8.9"
"238X","荃灣（海濱花園）↔中港碼頭●","$8.9"
"240X","黃泥頭↔葵興站●","$10.9"
"241X","青衣（長青邨）↔九龍城碼頭●","$9.8"
"242X","青衣（長亨邨）→尖沙咀尖沙咀東（麼地道）→青衣（長亨邨）●","$9.8"
"243M","青衣（美景花園）↔荃灣（愉景新城）●","$5.6"
"243P*","青衣（美景花園）→荃威花園●","$5.6"
"248M","青衣站↺長宏●","$4.5"
"249M","青衣站↺美景花園●","$4.5"
"249X","青衣站↔博康●","$10.0"
"251A","錦上路站↺上村●","$6.4"
"251B","八鄉路↺上村●","$6.4"
"251C*","江夏圍↺元朗●","$6.4"
"251M*","上村→荃灣站●","$11.1"
"252","屯門公路轉車站↺掃管笏●","$5.8"
"252B","恒順園→尖沙咀●","$14.2"
"252X","恒順園→藍田站藍田站→屯門（置樂花園）●","$18.1"
"258A*","洪水橋（洪福邨）→藍田站●","$18.1"
"258D","屯門（寶田邨）↔藍田站●","$18.1"
"258P*","洪水橋（洪福邨）↔藍田站●","$18.1"
"258S*","屯門（山景邨）→藍田站●","$18.1"
"258X*","屯門（寶田邨）↔觀塘碼頭●","$20.1"
"259B","屯門碼頭→尖沙咀●","$15.7"
"259C","新屯門中心→尖沙咀●","$15.0"
"259D","屯門（龍門居）↔鯉魚門邨●","$18.1"
"259E","屯門（龍門居）→荃灣站●","$9.8"
"259S*","屯門（龍門居）→觀塘碼頭●","$20.1"
"259X*","屯門（龍門居）↔觀塘碼頭●","$20.1"
"260B","屯門市中心→尖沙咀●","$15.0"
"260C","屯門（三聖邨）↔葵芳站●","$10.6"
"260X","屯門（寶田邨）↔紅磡站●","$16.5"
"261","屯門（三聖邨）↔粉嶺（祥華）●","$14.9"
"261B","屯門（三聖邨）→九龍站●","$15.0"
"261P*","屯門（兆康苑）↔上水（天平）●","$14.9"
"261S*","屯門（寶田邨）→上水（天平）●","$16.2"
"261X*","掃管笏↔粉嶺（祥華）●","$16.2"
"263","屯門站↔沙田站●","$16.2"
"263A","屯門站↔香港科學園●","$20.1"
"263B*","屯門站↔火炭（山尾街）●","$16.2"
"263C","香港教育大學↔屯門站●","$20.1"
"264R","天耀↔大埔墟站●","$17.9"
"265B","天恆邨↔旺角（柏景灣）●","$16.5"
"265M","天恆邨↔葵涌（麗瑤邨）●","$12.1"
"265P*","天恩邨↔荃灣●","$11.1"
"265S*","天水圍市中心→香港教育大學大埔工業邨→天水圍市中心●","$16.5"
"267X","屯門（兆康苑）↔藍田站●","$18.1"
"268A*","朗屏邨↔觀塘碼頭●","$20.1"
"268B","朗屏站↔紅磡（紅鸞道）●","$20.1"
"268C","朗屏站↔觀塘碼頭●","$20.1"
"268M","峻巒↔荃灣西站●","$11.1"
"268P*","媽橫路（山水樓）→觀塘碼頭觀塘碼頭→朗屏站●","$20.1"
"268X*","洪水橋（洪福邨）↔佐敦（西九龍站）●","$15.6"
"269A*","濕地公園路→葵涌（葵芳邨）●","$12.1"
"269B","天水圍市中心↔紅磡（紅鸞道）●","$20.1"
"269C","天水圍市中心↔觀塘碼頭●","$20.1"
"269D","天富↔瀝源●","$17.8"
"269P*","葵涌（葵芳邨）→濕地公園路●","$12.1"
"269M","天恩邨↔祖堯邨●","$12.1"
"269S*","天水圍市中心↔觀塘碼頭●","$20.1"
"269X","天瑞↔佐敦（西九龍站）●","$16.5"
"有關通宵巴士路線，請按此","230R","九龍站↔馬灣（珀欣路）●"
