"路線號","起訖點","全程收費"
"270","翠麗花園↺天平邨●","$4.0"
"270A","上水↔尖沙咀東（麼地道）●","$16.2"
"270B*","上水↔奧運站●","$16.2"
"270C*","粉嶺（聯和墟）↔尖沙咀東（麼地道）●","$16.2"
"270D*","粉嶺（聯和墟）→深水埗●","$16.2"
"270P*","上水→九龍站●","$16.2"
"T270","粉嶺（祥華）↔尖沙咀東（麼地道）●","$17.3"
"271","大埔（富亨）↔佐敦（西九龍站）●","$12.1"
"271A","富蝶總站↔尖沙咀東（麼地道）●","$11.6"
"271B*","大埔（富亨）↔佐敦（西九龍站）●","$12.1"
"271P*","九龍坑→尖沙咀（廣東道）●","$16.2"
"271X*","佐敦（西九龍站）→大埔（富亨）●","$13.2"
"272A","大學站↺白石角[註 2]●","$4.8"
"272E","大埔（太和）↔旺角（柏景灣）●","$14.4"
"272K","大學站↺香港科學園●","$4.3"
"272P","大埔（富亨）↔葵興站●","$12.1"
"272S","鑽石山站↔香港科學園●","$8.3"
"272X*","大埔中心↔旺角東站●","$11.1"
"273","粉嶺（華明）↺粉嶺站●","$4.0"
"273A","上水（彩園）↺華明●","$4.8"
"273B","上水（清河）↺上水站●","$4.0"
"273C*","九龍坑→荃灣西站●","$14.2"
"273D*","上水↺華明●","$4.8"
"273P","大埔（太和）→荃灣西站●","$11.1"
"273S*","粉嶺（暉明路）→粉嶺站粉嶺站→粉嶺（華明）●","$4.0"
"274","上水（太平）→烏溪沙站●","$14.4"
"274P","烏溪沙站↔大埔工業邨●","$8.7"
"274X*","觀塘碼頭→大埔中心●","$11.1"
"275R","大埔墟站↔烏蛟騰●","$12.0"
"275X*","大埔（富善）↔紅磡（紅鸞道）●","$11.1"
"276","天慈↔上水●","$10.1"
"276A","天恆邨↔上水（太平）●","$10.1"
"276B*","天富↔上水（彩園）●","$10.1"
"276C*","粉嶺（祥華）↔天水圍站●","$10.1"
"276P*","天水圍站↔上水●","$10.1"
"277A*","沙頭角↔藍田站●","$20.1"
"277E","上水（天平）↔藍田站●","$16.9"
"277P*","上水（天平）↔藍田站●","$16.9"
"277X","粉嶺（聯和墟）↔藍田站●","$16.2"
"T277","上水↔藍田站●","$17.3"
"278A*","皇后山↔荃灣（如心廣場）●","$14.2"
"278K","粉嶺（聯和墟）↺粉嶺站●","$4.0"
"278P*","上水（太平）→荃灣（如心廣場）●","$14.2"
