名,所屬集團,落成年份,地址,圖片
華景商場,新鴻基地產,1986年,葵涌華景山路9號,
荔景邨商場同埋賢麗苑商場,"香港房屋委員會（荔景邨商場）
領展房地產投資信託基金（賢麗苑商場）","1976年（荔景邨商場）
1991年（賢麗苑商場）","下葵涌磨石山荔景邨（荔景邨商場）
葵涌荔景山路180號（賢麗苑商場）",
麗瑤商場,香港房屋委員會,1977年,葵涌麗瑤街,
祖堯坊,香港房屋協會,2008年,葵涌敬祖路6號,
新都會廣場,新鴻基地產,1993年,葵涌興芳路223號,
好爵中心,分散業權,1983年,葵涌葵義路,
葵涌廣場,分散業權,1990年,葵涌葵富路,
恒景商場,中信泰富有限公司,1991年,葵涌榮芳街9號,
葵芳廣場,長城環亞控股、基匯資本,1995年,葵涌興芳路177號,
葵涌商場,香港房屋委員會,2004年,葵涌葵涌邨上角街,
新葵興廣場,新鴻基地產,1983年,葵涌興芳路,
葵興商場,人人汽車有限公司,1991年,葵涌禾葵里2號,
九龍貿易中心 KCC,新鴻基地產,"2014年（一期悅@KCC）
2018年（二期活@KCC）","葵涌葵昌路49至51號（一期悅@KCC）
葵涌葵昌路72至76號（二期活@KCC）",
香港佛羅倫斯小鎮,香港金寶國際有限公司,2017年,葵涌葵昌路100號,
葵盛西商場同埋葵盛東商場,"香港房屋委員會（葵盛西商場）
基匯資本（葵盛東商場）","1977年（葵盛西商場）
1999年（葵盛東商場）","葵涌葵聯路（葵盛西商場）
葵涌葵盛圍63號（葵盛東商場）",
大窩口商場,基滙資本,1984年,葵涌大窩口道15號,
葵芳匯,華潤集團,,葵涌興芳路208號,
千一廣場,,,葵涌葵涌道1001號,
葵涌中心商場,中信泰富有限公司,1978年,葵涌葵興路100號,
永得利廣場,,1998年,葵涌貨櫃碼頭路88號,
安蔭新城,高士威集團,1994年,葵涌安足街7號安蔭邨,
石籬商場,基滙資本,"1993年（石籬一邨商場）
1999年（石籬二期商場）","葵涌圍乪街6號（石籬一邨商場）
葵涌大隴街110號（石籬二期商場）",
石蔭商場,馬亞木,2000年,葵涌梨木道120號石蔭邨,
葵星商場,新鴻基地產,,葵涌青山公路,
寶星廣場,,1985年,葵涌打磚坪街,
和宜商場,,,葵涌和宜合道26-30號,
葵涌花園商場,新鴻基地產,,葵涌葵涌花園,
青衣城,香港鐵路有限公司,1999年,"青衣青敬路33號（1期）
青衣青敬路31號（2期）",
灝景灣商場,"華潤創業
長江實業
新鴻基地產",2000年,青衣牙鷹洲街8號,
長發廣場,領展房地產投資信託基金,1989年,青衣擔杆山路6號長發邨,
長亨商場,基滙資本,1990年,青衣寮肚路6號長亨邨,
青衣商場,基滙資本,1986年,青衣楓樹窩路10號青衣邨,
青怡薈,置富產業信託,1986年,青衣青綠街7-19號,
偉景花園購物中心,香港房屋協會,1991年,青衣青綠街1號偉景花園,
翠怡商場,新鴻基地產,1989年,"青衣楓樹窩路
（近青衣碼頭）",
長康商場,高士威集團,1980年,青衣長康邨,
長青商場,香港房屋委員會,1977年,青衣長青邨,
藍澄灣商場,長江實業地產,2004年,青衣青衣路1號,
美景商場,新鴻基地產,1982年,青衣細山路2-16號,
海悅花園商場,分散業權,1991年,青衣海悅花園,
青富商場,香港房屋委員會,2023年,青衣青衣路18號青富苑,
