名,所屬集團,落成年份,地址,圖片
廣福商場,領展房地產投資信託基金,1983年,大埔廣福邨,
運頭塘新城,華潤創業,1991年,大埔曉運路10號運頭塘邨,
新達廣場,新鴻基地產,1991年,大埔南運路9號,
大日子商場,尹伯權/分散業權,2016年,大埔大埔鄉事會街9-13號,
寶湖花園商場,,,大埔寶湖道,
富·盈門商場,華懋集團,2014年,大埔寶湖道1號,
大埔超級城,新鴻基地產,1985年,大埔安邦路8同10號,
大埔廣場,分散業權,,大埔,
大元商場,領展房地產投資信託基金,1980年,大埔汀角路10號大元邨,
八號花園商場,新鴻基地產,1984年,大埔安慈路,
昌運中心商場,,,大埔,
翠屏花園商場,,,大埔,
富亨商場,領展房地產投資信託基金,1990年,大埔富亨邨,
富善商場,領展房地產投資信託基金,1986年,大埔安埔路12號富善邨,
榮暉商場,,,大埔,
美豐花園商場,,,大埔,
新興商場,,,大埔安埔里,
太和廣場,領展房地產投資信託基金,1989年,大埔太和路12號太和邨,
康樂園商場（Fusion超市康樂園店同埋屋苑物業服務處）,新鴻基地產,1980年,大埔康樂園,
逸瓏坊,信和置業,2015年,大埔科進路白石角21號,
寶鄉商場,香港房屋委員會,2016年,大埔寶鄉街1號寶鄉邨,
Silicon Lane,新鴻基地產,2024年,大埔白石角優景里63號,
富蝶商場,香港房屋委員會,預計2024年,大埔頌雅路11號、彩蝶街11號富蝶邨,
西沙Go Park,新鴻基地產,2024年起分期,大埔西貢北十四鄉海影路9號,
香港科學園,香港科技園公司,2001年,大埔白石角吐露港沿岸,
富雅花園商場,"建業實業有限公司
其士（香港）有限公司",1990年,大埔南運路1-7號,
寶雅苑商鋪,董輝記木業,1989年,大埔太和路2號寶雅苑,
祥華商場,領展房地產投資信託基金,1984年,粉嶺新運路38號祥華邨,
嘉福商場,人人汽車有限公司,1995年,粉嶺置嘉里8號嘉福邨,
華明商場,基滙資本,1990年,粉嶺華明路21號華明邨,
華心商場,基滙資本,1995年,粉嶺一鳴路18號華心邨,
雍盛商場,基滙資本,2000年,粉嶺暉明路8號雍盛苑,
牽晴間購物廣場,恒基兆業地產有限公司,1999年,粉嶺一鳴路23號,
粉嶺中心購物商場,恒基兆業地產有限公司,1991年,粉嶺新運路33號,
花都購物廣場,"恒基兆業地產有限公司
華懋集團",1995年,粉嶺百和路88號,
碧湖商場,信和置業有限公司,1994年,粉嶺一鳴路15號,
粉嶺名都商場,華懋集團,1993年,粉嶺車站路,
嶺．樂活,香港房屋協會,2025年,,
欣盛苑商鋪（OK便利店）,香港房屋委員會,1993年,粉嶺華明路15號欣盛苑,
帝庭軒購物商場,信和置業有限公司,2000年,聯和墟和滿街8號,
海聯廣場,分散業權,1994年,聯和墟,
綠悠軒商場,海山投資,1998年,聯和墟馬適路3號,
逸峯廣場,"恒基兆業地產有限公司
香港小輪",2016年,聯和墟馬適路1號,
榮福商場,瑞昌國際,1993年,聯和墟,
28墟,信和置業有限公司,2018年,聯和墟和豐街28號,
彩園廣場,領展房地產投資信託基金,1982年,上水彩園路8號彩園邨,
上水廣場,新鴻基地產,1995年,"上水龍琛路39號（1期）
上水彩發街2號（2期）",
新都廣場,新鴻基地產,1991年,上水龍運街8號,
上水中心購物商場,陽光房地產基金,1993年,上水智昌路3號,
上水名都商場,華懋集團,1992年,上水智昌路,
龍豐廣場,分散業權,1991年,上水龍琛路,
上水匯,培新集團,2014年,上水龍琛路48號,
海禧廣場,康業服務,2000年,上水石湖墟,
天平新城,高士威集團,1989年,上水天平路48號天平邨,
順欣花園,其士集團,1992年,上水智昌路8號,
清河商場,香港房屋委員會,2008年,上水清曉路5號清河邨,
寶石湖邨商場,香港房屋委員會,2019年,上水彩園路21號寶石湖邨,
祥龍薈,香港房屋委員會,2015年,上水清曉路21號祥龍圍邨,
清濤商場,香港房屋委員會,2024年,上水清曉路1號清濤苑基座,
皇后山商場,香港房屋委員會,2021年,軍地龍馬路66號,
