名,所屬集團,落成年份,地址,圖片
朗善邨商場,香港房屋委員會,2017年,元朗友善街,
YOHO MALL 形點,新鴻基地產,"1988年（形點 I）
1994年（形點 II）
2024年（元點）
2024年（加點）","元朗市中心元龍街9號（形點 I）
元朗市中心朗日路8號（形點 II）
元朗市中心朗樂路1號（元點）
元朗市中心鳳翔路2-6號（加點）",
屏會中心,信和置業有限公司,,元朗市中心屏會街,
萬金中心,信和置業有限公司,,元朗市中心水車館街,
世宙商場,分散業權,2017年,元朗市中心元朗安寧路38號,
興隆購物中心,恒基兆業地產有限公司,1994年,元朗市中心壽富街,
順福糧倉,華懋集團,1988年,元朗市中心壽富街60號,
開心廣場,新鴻基地產,1990年,元朗市中心青山公路－元朗段123號,
喜利商場,,,元朗市中心青山公路,
朗屏商場,領展房地產投資信託基金,1987年,元朗市中心朗屏邨,
元朗廣場,新鴻基地產,1989年,元朗市中心青山公路249-251號,
又一新城,分散業權,2015年,元朗市中心又新街37-51號,
合益廣場,恒基兆業地產有限公司,1997年,元朗市中心大棠路,
同益商場,,,元朗市中心裕景坊,
合益商場,恒基兆業地產有限公司,1997年,元朗市中心合財街連宏發徑,
光華廣場,陽光房地產投資信託基金,1998年,元朗市中心大棠路,
K Plus,恒基兆業地產有限公司,1991年,元朗市中心西菁街,
好順泰商場,,,元朗市中心西菁街,
富盛商場,,,元朗市中心西菁街,
元朗千色匯,恒基兆業地產有限公司,1994年,元朗市中心教育路1號,
御庭居購物商場,信和置業有限公司,2000年,元朗市中心馬田路,
嘉城廣場,分散業權,1980年,元朗市中心教育路15號,
元朗貿易中心,,,元朗市中心青山公路,
益發大廈商場,,,元朗市中心鳳攸北街,
朗壹廣場,信和集團,2022年,元朗東頭工業區康業街8號,
萬豐商場,,,元朗市中心鳳群街,
金朗大廈商鋪,香港房屋協會,1975年,元朗市中心大棠路41-59號,
天一商城,"億京
分散業權",2016年,天水圍天秀路8號,
天澤商場,領展房地產投資信託基金,2001年,天水圍天澤邨,
俊宏廣場,分散業權,,天水圍天瑞路俊宏軒,
T Town,領展房地產投資信託基金,1999年,天水圍天頌苑、天富苑,
天晴商場,香港房屋委員會,2008年,天水圍天晴邨,
天恩商場,香港房屋委員會,2002年,天水圍天恩邨,
嘉湖,置富產業信託,1995年,天水圍天恩路18號,
天瑞(二)商場,領展房地產投資信託基金,1992年,天水圍天瑞邨,
嘉湖新北江商場,分散業權,1992年,天水圍天湖路嘉湖山莊樂湖居,
"嘉湖新城
（以前叫竹下通地帶）",分散業權,"2014年
2004年","天水圍天湖路嘉湖山莊樂湖居
嘉湖新北江商場",
原宿地帶,分散業權,2004年,"天水圍天湖路嘉湖山莊樂湖居
嘉湖新北江商場",
天盛商場,領展房地產投資信託基金,2000年,天水圍天盛苑,
天耀廣場,領展房地產投資信託基金,1992年,天水圍天耀邨,
天慈商場,領展房地產投資信託基金,1997年,天水圍天慈邨,
屏欣商場,香港房屋委員會,,天水圍屏欣苑,
Wetland Seasons Lane,新鴻基地產,2021年,天水圍濕地公園路9號,
雅珊園商場,新鴻基地產,1992年,洪水橋洪堤路,
洪福商場,香港房屋委員會,2015年,洪水橋洪水橋田心路,
樂翹都匯,香港房屋協會,2024-2025年,,
匯都,泛海國際,預計2025年,,
Park Circle,新鴻基地產,2016年,錦田北沙埔青山公路潭尾段18號,
爾巒商場,新鴻基地產,2013年,錦田映河路1號,
天空之城,,,高埔村,
錦田中心,,,錦田錦田公路,
盈匯坊,,2018年,錦田吉慶園250號,
錦綉花園市中心,俊業海外建設,1984年,新田大生圍錦綉花園銀杏路,
加州花園商場,新鴻基地產,1994年,新田和生圍加州花園大道,
